,Palavras,Rotulo,Sentenca
38456,e,O,3259
38457,comercializada,O,3259
38458,em,O,3259
38459,três,O,3259
38460,versões,O,3259
38461,de,O,3259
38462,armazenamento,O,3259
38463,em,O,3259
38464,madeiras,O,3259
38465,de,O,3259
38466,Bálsamo,B-TIPO_MADEIRA,3259
38467,",",O,3259
38468,umburana,B-TIPO_MADEIRA,3260
38469,e,O,3260
38470,jequitibá,B-TIPO_MADEIRA,3260
38471,.,O,3260
38472,Tais,O,3261
38473,madeiras,O,3261
38474,conferem,O,3261
38475,a,O,3261
38476,bebida,O,3261
38477,paladar,O,3261
38478,incomparáveis,O,3261
38479,para,O,3261
38480,quem,O,3261
38481,aprecia,O,3261
38482,a,O,3261
38483,mais,O,3261
38484,genuina,O,3262
38485,bebida,O,3262
38486,brasileira,O,3262
38487,A,O,3262
38488,CACHAÇA,O,3262
38489,Experimente,O,3263
38490,e,O,3263
38491,Comprove,O,3263
38492,!,O,3263
38493,Grad,O,3264
38494,.,O,3264
38495,Alcool,O,3265
38496,.,O,3265
38497,:,O,3266
38498,48,B-GRADUACAO_ALCOOLICA,3266
38499,%,I-GRADUACAO_ALCOOLICA,3266
38500,Vol,O,3266
38501,.,O,3266
38502,),O,3266
38503,Envelhecida,O,3267
38504,em,O,3267
38505,Umburana,B-TIPO_MADEIRA,3267
38506,Tempo,O,3268
38507,de,O,3268
38508,Envelhecimento,O,3268
38509,:,O,3268
38510,3,B-TEMPO_ARMAZENAMENTO,3268
38511,Anos,I-TEMPO_ARMAZENAMENTO,3268
38512,Conteúdo,O,3269
38513,:,O,3269
38514,670,B-VOLUME,3269
38515,ml,I-VOLUME,3269
38516,Garrafa,O,3270
38517,:,O,3270
38518,Tradicional,O,3270
38519,Prazo,O,3271
38520,de,O,3271
38521,Validade,O,3271
38522,:,O,3271
38523,Indeterminado,O,3271
38524,Evite,O,3272
38525,o,O,3272
38526,consumo,O,3272
38527,Excessivo,O,3272
38528,de,O,3272
38529,Álcool,O,3272
38530,Tempo,O,3273
38531,de,O,3273
38532,Envelhecimento,O,3273
38533,:,O,3273
38534,3,B-TEMPO_ARMAZENAMENTO,3273
38535,anos,I-TEMPO_ARMAZENAMENTO,3273
38536,Grad,O,3274
38537,.,O,3274
38538,Alcool,O,3274
38539,:,O,3274
38540,48%,B-GRADUACAO_ALCOOLICA,3274
38541,id,O,3275
38542,:,O,3275
38543,257,O,3275
38544,NOME,O,3276
38545,DA,O,3276
38546,CACHAÇA,O,3276
38547,:,O,3276
38548,Cachaça,O,3276
38549,Nova,B-NOME_BEBIDA,3276
38550,Aliança,I-NOME_BEBIDA,3276
38551,Bálsamo,B-TIPO_MADEIRA,3276
38552,670,B-VOLUME,3276
38553,ML,I-VOLUME,3276
38554,PREÇO,O,3277
38555,:,O,3277
38556,R$,B-PRECO,3277
38557,32,I-PRECO,3277
38558,",",I-PRECO,3277
38559,90,I-PRECO,3277
38560,Volume,O,3278
38561,:,O,3278
38562,670,B-VOLUME,3278
38563,ml,I-VOLUME,3278
38564,DESCRIÇÃO,O,3279
38565,DA,O,3279
38566,CACHAÇA,O,3279
38567,:,O,3279
38568,Cachaça,O,3279
38569,Nova,B-NOME_BEBIDA,3279
38570,Aliança,I-NOME_BEBIDA,3279
38571,A,O,3280
38572,Cachaça,O,3280
38573,Nova,B-NOME_BEBIDA,3280
38574,Aliança,I-NOME_BEBIDA,3280
38575,foi,O,3280
38576,criada,O,3280
38577,pensando,O,3280
38578,estabelecer,O,3280
38579,relação,O,3280
38580,de,O,3280
38581,confiança,O,3280
38582,e,O,3281
38583,o,O,3281
38584,reconhecimento,O,3281
38585,do,O,3281
38586,consumidor,O,3281
38587,junto,O,3281
38588,ao,O,3281
38589,produtor,O,3281
38590,industria,O,3281
38591,",",O,3281
38592,Comercio,O,3281
38593,e,O,3281
38594,Exportação,O,3281
38595,de,O,3281
38596,Cachaça,O,3281
38597,Beija,B-NOME_ORGANIZACAO,3282
38598,-,I-NOME_ORGANIZACAO,3282
38599,Flor,I-NOME_ORGANIZACAO,3282
38600,Ltda,I-NOME_ORGANIZACAO,3282
38601,",",O,3282
38602,empresa,O,3282
38603,familiar,O,3282
38604,de,O,3282
38605,Salinas,B-NOME_LOCAL,3282
38606,que,O,3282
38607,está,O,3282
38608,no,O,3282
38609,mercado,O,3282
38610,desde,O,3282
38611,de,O,3282
38612,1988,B-TEMPO,3282
38613,",",O,3282
38614,que,O,3282
38615,tamnbem,O,3282
38616,produz,O,3282
38617,a,O,3282
38618,famosa,O,3282
38619,e,O,3282
38620,tradicional,O,3282
38621,Indaiazinha,B-NOME_BEBIDA,3282
38622,.,O,3282
38623,A,O,3283
38624,Cachaça,O,3283
38625,Nova,B-NOME_BEBIDA,3283
38626,Aliança,I-NOME_BEBIDA,3283
38627,e,O,3283
38628,comercializada,O,3283
38629,em,O,3283
38630,três,O,3283
38631,versões,O,3283
38632,de,O,3283
38633,armazenamento,O,3283
38634,em,O,3283
38635,madeiras,O,3283
38636,de,O,3283
38637,Bálsamo,B-TIPO_MADEIRA,3283
38638,",",O,3283
38639,umburana,B-TIPO_MADEIRA,3284
38640,e,O,3284
38641,jequitibá,B-TIPO_MADEIRA,3284
38642,.,O,3284
38643,Tais,O,3285
38644,madeiras,O,3285
38645,conferem,O,3285
38646,a,O,3285
38647,bebida,O,3285
38648,paladar,O,3285
38649,incomparáveis,O,3285
38650,para,O,3285
38651,quem,O,3285
38652,aprecia,O,3285
38653,a,O,3285
38654,mais,O,3285
38655,genuina,O,3286
38656,bebida,O,3286
38657,brasileira,O,3286
38658,A,O,3286
38659,CACHAÇA,O,3286
38660,Experimente,O,3287
38661,e,O,3287
38662,Comprove,O,3287
38663,!,O,3287
38664,Grad,O,3288
38665,.,O,3288
38666,Alcool,O,3289
38667,.,O,3289
38668,:,O,3290
38669,48,B-GRADUACAO_ALCOOLICA,3290
38670,%,I-GRADUACAO_ALCOOLICA,3290
38671,Vol,O,3290
38672,.,O,3290
38673,),O,3290
38674,Envelhecida,O,3291
38675,em,O,3291
38676,Balsamo,B-TIPO_MADEIRA,3291
38677,Tempo,O,3292
38678,de,O,3292
38679,Envelhecimento,O,3292
38680,:,O,3292
38681,3,B-TEMPO_ARMAZENAMENTO,3292
38682,Anos,I-TEMPO_ARMAZENAMENTO,3292
38683,Conteúdo,O,3293
38684,:,O,3293
38685,670,B-VOLUME,3293
38686,ml,I-VOLUME,3293
38687,Garrafa,O,3294
38688,:,O,3294
38689,Tradicional,O,3294
38690,Prazo,O,3295
38691,de,O,3295
38692,Validade,O,3295
38693,:,O,3295
38694,Indeterminado,O,3295
38695,Evite,O,3296
38696,o,O,3296
38697,consumo,O,3296
38698,Excessivo,O,3296
38699,de,O,3296
38700,Álcool,O,3296
38701,Tempo,O,3297
38702,de,O,3297
38703,Envelhecimento,O,3297
38704,:,O,3297
38705,3,B-TEMPO_ARMAZENAMENTO,3297
38706,anos,I-TEMPO_ARMAZENAMENTO,3297
38707,Grad,O,3298
38708,.,O,3298
38709,Alcool,O,3298
38710,:,O,3298
38711,48%,B-GRADUACAO_ALCOOLICA,3298
38712,id,O,3299
38713,:,O,3299
38714,258,O,3299
38715,NOME,O,3300
38716,DA,O,3300
38717,CACHAÇA,O,3300
38718,:,O,3300
38719,Miniatura,O,3300
38720,Nova,B-NOME_BEBIDA,3300
38721,Aliança,I-NOME_BEBIDA,3300
38722,Prata,B-CLASSIFICACAO_BEBIDA,3300
38723,PREÇO,O,3301
38724,:,O,3301
38725,R$,B-PRECO,3301
38726,12,I-PRECO,3301
38727,",",I-PRECO,3301
38728,90,I-PRECO,3301
38729,Volume,O,3302
38730,:,O,3302
38731,50,B-VOLUME,3302
38732,ml,I-VOLUME,3302
38733,DESCRIÇÃO,O,3303
38734,DA,O,3303
38735,CACHAÇA,O,3303
38736,:,O,3303
38737,Cachaça,O,3303
38738,Nova,B-NOME_BEBIDA,3303
38739,Aliança,I-NOME_BEBIDA,3303
38740,A,O,3304
38741,Cachaça,O,3304
38742,Nova,B-NOME_BEBIDA,3304
38743,Aliança,I-NOME_BEBIDA,3304
38744,foi,O,3304
38745,criada,O,3304
38746,pensando,O,3304
38747,estabelecer,O,3304
38748,relação,O,3304
38749,de,O,3304
38750,confiança,O,3304
38751,e,O,3305
38752,o,O,3305
38753,reconhecimento,O,3305
38754,do,O,3305
38755,consumidor,O,3305
38756,junto,O,3305
38757,ao,O,3305
38758,produtor,O,3305
38759,industria,O,3305
38760,",",O,3305
38761,Comercio,O,3305
38762,e,O,3305
38763,Exportação,O,3305
38764,de,O,3305
38765,Cachaça,O,3305
38766,Beija,B-NOME_ORGANIZACAO,3306
38767,-,I-NOME_ORGANIZACAO,3306
38768,Flor,I-NOME_ORGANIZACAO,3306
38769,Ltda,I-NOME_ORGANIZACAO,3306
38770,",",O,3306
38771,empresa,O,3306
38772,familiar,O,3306
38773,de,O,3306
38774,Salinas,B-NOME_LOCAL,3306
38775,que,O,3306
38776,está,O,3306
38777,no,O,3306
38778,mercado,O,3306
38779,desde,O,3306
38780,de,O,3306
38781,1988,B-TEMPO,3306
38782,",",O,3306
38783,que,O,3306
38784,tamnbem,O,3306
38785,produz,O,3306
38786,a,O,3306
38787,famosa,O,3306
38788,e,O,3306
38789,tradicional,O,3306
38790,Indaiazinha,B-NOME_BEBIDA,3306
38791,.,O,3306
38792,A,O,3307
38793,Cachaça,O,3307
38794,Nova,B-NOME_BEBIDA,3307
38795,Aliança,I-NOME_BEBIDA,3307
38796,e,O,3307
38797,comercializada,O,3307
38798,em,O,3307
38799,três,O,3307
38800,versões,O,3307
38801,de,O,3307
38802,armazenamento,O,3307
38803,em,O,3307
38804,madeiras,O,3307
38805,de,O,3307
38806,Bálsamo,B-TIPO_MADEIRA,3307
38807,",",O,3307
38808,umburana,B-TIPO_MADEIRA,3308
38809,e,O,3308
38810,jequitibá,B-TIPO_MADEIRA,3308
38811,.,O,3308
38812,Tais,O,3309
38813,madeiras,O,3309
38814,conferem,O,3309
38815,a,O,3309
38816,bebida,O,3309
38817,paladar,O,3309
38818,incomparáveis,O,3309
38819,para,O,3309
38820,quem,O,3309
38821,aprecia,O,3309
38822,a,O,3309
38823,mais,O,3309
38824,genuina,O,3310
38825,bebida,O,3310
38826,brasileira,O,3310
38827,A,O,3310
38828,CACHAÇA,O,3310
38829,Experimente,O,3311
38830,e,O,3311
38831,Comprove,O,3311
38832,!,O,3311
38833,Grad,O,3312
38834,.,O,3312
38835,Alcool,O,3313
38836,.,O,3313
38837,:,O,3314
38838,48,B-GRADUACAO_ALCOOLICA,3314
38839,%,I-GRADUACAO_ALCOOLICA,3314
38840,Vol,O,3314
38841,.,O,3314
38842,),O,3314
38843,Envelhecida,O,3315
38844,em,O,3315
38845,Jequitibá,B-TIPO_MADEIRA,3315
38846,Tempo,O,3316
38847,de,O,3316
38848,Envelhecimento,O,3316
38849,:,O,3316
38850,2,B-TEMPO_ARMAZENAMENTO,3316
38851,Anos,I-TEMPO_ARMAZENAMENTO,3316
38852,Conteúdo,O,3317
38853,:,O,3317
38854,50,B-VOLUME,3317
38855,ml,I-VOLUME,3317
38856,Garrafa,O,3318
38857,:,O,3318
38858,Miniatura,O,3318
38859,Prazo,O,3319
38860,de,O,3319
38861,Validade,O,3319
38862,:,O,3319
38863,Indeterminado,O,3319
38864,Evite,O,3320
38865,o,O,3320
38866,consumo,O,3320
38867,Excessivo,O,3320
38868,de,O,3320
38869,Álcool,O,3320
38870,Tempo,O,3321
38871,de,O,3321
38872,Envelhecimento,O,3321
38873,:,O,3321
38874,2,B-TEMPO_ARMAZENAMENTO,3321
38875,anos,I-TEMPO_ARMAZENAMENTO,3321
38876,Grad,O,3322
38877,.,O,3322
38878,Alcool,O,3322
38879,:,O,3322
38880,48%,B-GRADUACAO_ALCOOLICA,3322
38881,id,O,3323
38882,:,O,3323
38883,259,O,3323
38884,NOME,O,3324
38885,DA,O,3324
38886,CACHAÇA,O,3324
38887,:,O,3324
38888,Cachaça,O,3324
38889,Nova,B-NOME_BEBIDA,3324
38890,Aliança,I-NOME_BEBIDA,3324
38891,Prata,B-CLASSIFICACAO_BEBIDA,3324
38892,600,B-VOLUME,3324
38893,ML,I-VOLUME,3324
38894,PREÇO,O,3325
38895,:,O,3325
38896,R$,B-PRECO,3325
38897,29,I-PRECO,3325
38898,",",I-PRECO,3325
38899,90,I-PRECO,3325
38900,Volume,O,3326
38901,:,O,3326
38902,600,B-VOLUME,3326
38903,ml,I-VOLUME,3326
38904,DESCRIÇÃO,O,3327
38905,DA,O,3327
38906,CACHAÇA,O,3327
38907,:,O,3327
38908,Cachaça,O,3327
38909,Nova,B-NOME_BEBIDA,3327
38910,Aliança,I-NOME_BEBIDA,3327
38911,A,O,3328
38912,Cachaça,O,3328
38913,Nova,B-NOME_BEBIDA,3328
38914,Aliança,I-NOME_BEBIDA,3328
38915,foi,O,3328
38916,criada,O,3328
38917,pensando,O,3328
38918,estabelecer,O,3328
38919,relação,O,3328
38920,de,O,3328
38921,confiança,O,3328
38922,e,O,3329
38923,o,O,3329
38924,reconhecimento,O,3329
38925,do,O,3329
38926,consumidor,O,3329
38927,junto,O,3329
38928,ao,O,3329
38929,produtor,O,3329
38930,industria,O,3329
38931,",",O,3329
38932,Comercio,O,3329
38933,e,O,3329
38934,Exportação,O,3329
38935,de,O,3329
38936,Cachaça,O,3329
38937,Beija,B-NOME_ORGANIZACAO,3330
38938,-,I-NOME_ORGANIZACAO,3330
38939,Flor,I-NOME_ORGANIZACAO,3330
38940,Ltda,I-NOME_ORGANIZACAO,3330
38941,",",O,3330
38942,empresa,O,3330
38943,familiar,O,3330
38944,de,O,3330
38945,Salinas,B-NOME_LOCAL,3330
38946,que,O,3330
38947,está,O,3330
38948,no,O,3330
38949,mercado,O,3330
38950,desde,O,3330
38951,de,O,3330
38952,1988,B-TEMPO,3330
38953,",",O,3330
38954,que,O,3330
38955,tamnbem,O,3330
38956,produz,O,3330
38957,a,O,3330
38958,famosa,O,3330
38959,e,O,3330
38960,tradicional,O,3330
38961,Indaiazinha,B-NOME_BEBIDA,3330
38962,.,O,3330
38963,A,O,3331
38964,Cachaça,O,3331
38965,Nova,B-NOME_BEBIDA,3331
38966,Aliança,I-NOME_BEBIDA,3331
38967,e,O,3331
38968,comercializada,O,3331
38969,em,O,3331
38970,três,O,3331
38971,versões,O,3331
38972,de,O,3331
38973,armazenamento,O,3331
38974,em,O,3331
38975,madeiras,O,3331
38976,de,O,3331
38977,Bálsamo,B-TIPO_MADEIRA,3331
38978,",",O,3331
38979,umburana,B-TIPO_MADEIRA,3332
38980,e,O,3332
38981,jequitibá,B-TIPO_MADEIRA,3332
38982,.,O,3332
38983,Tais,O,3333
38984,madeiras,O,3333
38985,conferem,O,3333
38986,a,O,3333
38987,bebida,O,3333
38988,paladar,O,3333
38989,incomparáveis,O,3333
38990,para,O,3333
38991,quem,O,3333
38992,aprecia,O,3333
38993,a,O,3333
38994,mais,O,3333
38995,genuina,O,3334
38996,bebida,O,3334
38997,brasileira,O,3334
38998,A,O,3334
38999,CACHAÇA,O,3334
39000,Experimente,O,3335
39001,e,O,3335
39002,Comprove,O,3335
39003,!,O,3335
39004,Grad,O,3336
39005,.,O,3336
39006,Alcool,O,3337
39007,.,O,3337
39008,:,O,3338
39009,48,B-GRADUACAO_ALCOOLICA,3338
39010,%,I-GRADUACAO_ALCOOLICA,3338
39011,Vol,O,3338
39012,.,O,3338
39013,),O,3338
39014,Envelhecida,O,3339
39015,em,O,3339
39016,Jequitibá,B-TIPO_MADEIRA,3339
39017,Tempo,O,3340
39018,de,O,3340
39019,Envelhecimento,O,3340
39020,:,O,3340
39021,2,B-TEMPO_ARMAZENAMENTO,3340
39022,Anos,I-TEMPO_ARMAZENAMENTO,3340
39023,Conteúdo,O,3341
39024,:,O,3341
39025,600,B-VOLUME,3341
39026,ml,I-VOLUME,3341
39027,Garrafa,O,3342
39028,:,O,3342
39029,Tradicional,O,3342
39030,Prazo,O,3343
39031,de,O,3343
39032,Validade,O,3343
39033,:,O,3343
39034,Indeterminado,O,3343
39035,Evite,O,3344
39036,o,O,3344
39037,consumo,O,3344
39038,Excessivo,O,3344
39039,de,O,3344
39040,Álcool,O,3344
39041,Tempo,O,3345
39042,de,O,3345
39043,Envelhecimento,O,3345
39044,:,O,3345
39045,2,B-TEMPO_ARMAZENAMENTO,3345
39046,anos,I-TEMPO_ARMAZENAMENTO,3345
39047,Grad,O,3346
39048,.,O,3346
39049,Alcool,O,3346
39050,:,O,3346
39051,48%,B-GRADUACAO_ALCOOLICA,3346
39052,id,O,3347
39053,:,O,3347
39054,260,O,3347
39055,NOME,O,3348
39056,DA,O,3348
39057,CACHAÇA,O,3348
39058,:,O,3348
39059,Cachaça,O,3348
39060,Nova,B-NOME_BEBIDA,3348
39061,Aliança,I-NOME_BEBIDA,3348
39062,Umburana,B-TIPO_MADEIRA,3348
39063,600,B-VOLUME,3348
39064,ML,I-VOLUME,3348
39065,PREÇO,O,3349
39066,:,O,3349
39067,R$,B-PRECO,3349
39068,29,I-PRECO,3349
39069,",",I-PRECO,3349
39070,90,I-PRECO,3349
39071,Volume,O,3350
39072,:,O,3350
39073,600,B-VOLUME,3350
39074,ml,I-VOLUME,3350
39075,DESCRIÇÃO,O,3351
39076,DA,O,3351
39077,CACHAÇA,O,3351
39078,:,O,3351
39079,Cachaça,O,3351
39080,Nova,B-NOME_BEBIDA,3351
39081,Aliança,I-NOME_BEBIDA,3351
39082,A,O,3352
39083,Cachaça,O,3352
39084,Nova,B-NOME_BEBIDA,3352
39085,Aliança,I-NOME_BEBIDA,3352
39086,foi,O,3352
39087,criada,O,3352
39088,pensando,O,3352
39089,estabelecer,O,3352
39090,relação,O,3352
39091,de,O,3352
39092,confiança,O,3352
39093,e,O,3353
39094,o,O,3353
39095,reconhecimento,O,3353
39096,do,O,3353
39097,consumidor,O,3353
39098,junto,O,3353
39099,ao,O,3353
39100,produtor,O,3353
39101,industria,O,3353
39102,",",O,3353
39103,Comercio,O,3353
39104,e,O,3353
39105,Exportação,O,3353
39106,de,O,3353
39107,Cachaça,O,3353
39108,Beija,B-NOME_ORGANIZACAO,3354
39109,-,I-NOME_ORGANIZACAO,3354
39110,Flor,I-NOME_ORGANIZACAO,3354
39111,Ltda,I-NOME_ORGANIZACAO,3354
39112,",",O,3354
39113,empresa,O,3354
39114,familiar,O,3354
39115,de,O,3354
39116,Salinas,B-NOME_LOCAL,3354
39117,que,O,3354
39118,está,O,3354
39119,no,O,3354
39120,mercado,O,3354
39121,desde,O,3354
39122,de,O,3354
39123,1988,B-TEMPO,3354
39124,",",O,3354
39125,que,O,3354
39126,tamnbem,O,3354
39127,produz,O,3354
39128,a,O,3354
39129,famosa,O,3354
39130,e,O,3354
39131,tradicional,O,3354
39132,Indaiazinha,B-NOME_BEBIDA,3354
39133,.,O,3354
39134,A,O,3355
39135,Cachaça,O,3355
39136,Nova,B-NOME_BEBIDA,3355
39137,Aliança,I-NOME_BEBIDA,3355
39138,e,O,3355
39139,comercializada,O,3355
39140,em,O,3355
39141,três,O,3355
39142,versões,O,3355
39143,de,O,3355
39144,armazenamento,O,3355
39145,em,O,3355
39146,madeiras,O,3355
39147,de,O,3355
39148,Bálsamo,B-TIPO_MADEIRA,3355
39149,",",O,3355
39150,umburana,B-TIPO_MADEIRA,3356
39151,e,O,3356
39152,jequitibá,B-TIPO_MADEIRA,3356
39153,.,O,3356
39154,Tais,O,3357
39155,madeiras,O,3357
39156,conferem,O,3357
39157,a,O,3357
39158,bebida,O,3357
39159,paladar,O,3357
39160,incomparáveis,O,3357
39161,para,O,3357
39162,quem,O,3357
39163,aprecia,O,3357
39164,a,O,3357
39165,mais,O,3357
39166,genuina,O,3358
39167,bebida,O,3358
39168,brasileira,O,3358
39169,A,O,3358
39170,CACHAÇA,O,3358
39171,Experimente,O,3359
39172,e,O,3359
39173,Comprove,O,3359
39174,!,O,3359
39175,Grad,O,3360
39176,.,O,3360
39177,Alcool,O,3361
39178,.,O,3361
39179,:,O,3362
39180,48,B-GRADUACAO_ALCOOLICA,3362
39181,%,I-GRADUACAO_ALCOOLICA,3362
39182,Vol,O,3362
39183,.,O,3362
39184,),O,3362
39185,Envelhecida,O,3363
39186,em,O,3363
39187,Umburana,B-TIPO_MADEIRA,3363
39188,Tempo,O,3364
39189,de,O,3364
39190,Envelhecimento,O,3364
39191,:,O,3364
39192,3,B-TEMPO_ARMAZENAMENTO,3364
39193,Anos,I-TEMPO_ARMAZENAMENTO,3364
39194,Conteúdo,O,3365
39195,:,O,3365
39196,600,B-VOLUME,3365
39197,ml,I-VOLUME,3365
39198,Garrafa,O,3366
39199,:,O,3366
39200,Tradicional,O,3366
39201,Prazo,O,3367
39202,de,O,3367
39203,Validade,O,3367
39204,:,O,3367
39205,Indeterminado,O,3367
39206,Evite,O,3368
39207,o,O,3368
39208,consumo,O,3368
39209,Excessivo,O,3368
39210,de,O,3368
39211,Álcool,O,3368
39212,Tempo,O,3369
39213,de,O,3369
39214,Envelhecimento,O,3369
39215,:,O,3369
39216,3,B-TEMPO_ARMAZENAMENTO,3369
39217,anos,I-TEMPO_ARMAZENAMENTO,3369
39218,Grad,O,3370
39219,.,O,3370
39220,Alcool,O,3370
39221,:,O,3370
39222,48%,B-GRADUACAO_ALCOOLICA,3370
39223,id,O,3371
39224,:,O,3371
39225,261,O,3371
39226,NOME,O,3372
39227,DA,O,3372
39228,CACHAÇA,O,3372
39229,:,O,3372
39230,Cachaça,O,3372
39231,Nova,B-NOME_BEBIDA,3372
39232,Aliança,I-NOME_BEBIDA,3372
39233,Balsamo,B-TIPO_MADEIRA,3372
39234,600,B-VOLUME,3372
39235,ml,I-VOLUME,3372
39236,PREÇO,O,3373
39237,:,O,3373
39238,R$,B-PRECO,3373
39239,29,I-PRECO,3373
39240,",",I-PRECO,3373
39241,90,I-PRECO,3373
39242,Volume,O,3374
39243,:,O,3374
39244,600,B-VOLUME,3374
39245,ml,I-VOLUME,3374
39246,DESCRIÇÃO,O,3375
39247,DA,O,3375
39248,CACHAÇA,O,3375
39249,:,O,3375
39250,Cachaça,O,3375
39251,Nova,B-NOME_BEBIDA,3375
39252,Aliança,I-NOME_BEBIDA,3375
39253,A,O,3376
39254,Cachaça,O,3376
39255,Nova,B-NOME_BEBIDA,3376
39256,Aliança,I-NOME_BEBIDA,3376
39257,foi,O,3376
39258,criada,O,3376
39259,pensando,O,3376
39260,estabelecer,O,3376
39261,relação,O,3376
39262,de,O,3376
39263,confiança,O,3376
39264,e,O,3377
39265,o,O,3377
39266,reconhecimento,O,3377
39267,do,O,3377
39268,consumidor,O,3377
39269,junto,O,3377
39270,ao,O,3377
39271,produtor,O,3377
39272,industria,O,3377
39273,",",O,3377
39274,Comercio,O,3377
39275,e,O,3377
39276,Exportação,O,3377
39277,de,O,3377
39278,Cachaça,O,3377
39279,Beija,B-NOME_ORGANIZACAO,3378
39280,-,I-NOME_ORGANIZACAO,3378
39281,Flor,I-NOME_ORGANIZACAO,3378
39282,Ltda,I-NOME_ORGANIZACAO,3378
39283,",",O,3378
39284,empresa,O,3378
39285,familiar,O,3378
39286,de,O,3378
39287,Salinas,B-NOME_LOCAL,3378
39288,que,O,3378
39289,está,O,3378
39290,no,O,3378
39291,mercado,O,3378
39292,desde,O,3378
39293,de,O,3378
39294,1988,B-TEMPO,3378
39295,",",O,3378
39296,que,O,3378
39297,tamnbem,O,3378
39298,produz,O,3378
39299,a,O,3378
39300,famosa,O,3378
39301,e,O,3378
39302,tradicional,O,3378
39303,Indaiazinha,B-NOME_BEBIDA,3378
39304,.,O,3378
39305,A,O,3379
39306,Cachaça,O,3379
39307,Nova,B-NOME_BEBIDA,3379
39308,Aliança,I-NOME_BEBIDA,3379
39309,e,O,3379
39310,comercializada,O,3379
39311,em,O,3379
39312,três,O,3379
39313,versões,O,3379
39314,de,O,3379
39315,armazenamento,O,3379
39316,em,O,3379
39317,madeiras,O,3379
39318,de,O,3379
39319,Bálsamo,B-TIPO_MADEIRA,3379
39320,",",O,3379
39321,umburana,B-TIPO_MADEIRA,3380
39322,e,O,3380
39323,jequitibá,B-TIPO_MADEIRA,3380
39324,.,O,3380
39325,Tais,O,3381
39326,madeiras,O,3381
39327,conferem,O,3381
39328,a,O,3381
39329,bebida,O,3381
39330,paladar,O,3381
39331,incomparáveis,O,3381
39332,para,O,3381
39333,quem,O,3381
39334,aprecia,O,3381
39335,a,O,3381
39336,mais,O,3381
39337,genuina,O,3382
39338,bebida,O,3382
39339,brasileira,O,3382
39340,A,O,3382
39341,CACHAÇA,O,3382
39342,Experimente,O,3383
39343,e,O,3383
39344,Comprove,O,3383
39345,!,O,3383
39346,Grad,O,3384
39347,.,O,3384
39348,Alcool,O,3385
39349,.,O,3385
39350,:,O,3386
39351,48,B-GRADUACAO_ALCOOLICA,3386
39352,%,I-GRADUACAO_ALCOOLICA,3386
39353,Vol,O,3386
39354,.,O,3386
39355,),O,3386
39356,Envelhecida,O,3387
39357,em,O,3387
39358,Balsamo,B-TIPO_MADEIRA,3387
39359,Tempo,O,3388
39360,de,O,3388
39361,Envelhecimento,O,3388
39362,:,O,3388
39363,3,B-TEMPO_ARMAZENAMENTO,3388
39364,Anos,I-TEMPO_ARMAZENAMENTO,3388
39365,Conteúdo,O,3389
39366,:,O,3389
39367,600,B-VOLUME,3389
39368,ml,I-VOLUME,3389
39369,Garrafa,O,3390
39370,:,O,3390
39371,Tradicional,O,3390
39372,Prazo,O,3391
39373,de,O,3391
39374,Validade,O,3391
39375,:,O,3391
39376,Indeterminado,O,3391
39377,Evite,O,3392
39378,o,O,3392
39379,consumo,O,3392
39380,Excessivo,O,3392
39381,de,O,3392
39382,Álcool,O,3392
39383,Tempo,O,3393
39384,de,O,3393
39385,Envelhecimento,O,3393
39386,:,O,3393
39387,3,B-TEMPO_ARMAZENAMENTO,3393
39388,anos,I-TEMPO_ARMAZENAMENTO,3393
39389,Grad,O,3394
39390,.,O,3394
39391,Alcool,O,3394
39392,:,O,3394
39393,48%,B-GRADUACAO_ALCOOLICA,3394
39394,id,O,3395
39395,:,O,3395
39396,262,O,3395
39397,NOME,O,3396
39398,DA,O,3396
39399,CACHAÇA,O,3396
39400,:,O,3396
39401,Cachaça,O,3396
39402,Tabúa,B-NOME_BEBIDA,3396
39403,Prata,B-CLASSIFICACAO_BEBIDA,3396
39404,670,B-VOLUME,3396
39405,ml,I-VOLUME,3396
39406,PREÇO,O,3397
39407,:,O,3397
39408,R$,B-PRECO,3397
39409,44,I-PRECO,3397
39410,",",I-PRECO,3397
39411,90,I-PRECO,3397
39412,Volume,O,3398
39413,:,O,3398
39414,670,B-VOLUME,3398
39415,ml,I-VOLUME,3398
39416,DESCRIÇÃO,O,3399
39417,DA,O,3399
39418,CACHAÇA,O,3399
39419,:,O,3399
39420,Tabúa,B-NOME_BEBIDA,3399
39421,Flor,I-NOME_BEBIDA,3399
39422,de,O,3399
39423,Prata,B-CLASSIFICACAO_BEBIDA,3399
39424,A,O,3400
39425,cachaça,O,3400
39426,artesanal,O,3400
39427,Tabúa,B-NOME_BEBIDA,3400
39428,é,O,3400
39429,fabricada,O,3400
39430,nos,O,3400
39431,solos,O,3400
39432,da,O,3400
39433,capital,O,3400
39434,mundial,O,3400
39435,da,O,3400
39436,cachaça,O,3400
39437,.,O,3400
39438,É,O,3401
39439,desenvolvida,O,3401
39440,de,O,3401
39441,forma,O,3401
39442,artesanal,O,3401
39443,e,O,3401
39444,tradicional,O,3401
39445,",",O,3401
39446,com,O,3401
39447,características,O,3401
39448,típicas,O,3401
39449,em,O,3401
39450,cada,O,3401
39451,etapa,O,3401
39452,do,O,3401
39453,processo,O,3401
39454,.,O,3401
