,NOME_DA_CACHAÇA,PREÇO,DESCRIÇÃO_DA_CACHAÇA,VOLUME,GRADUAÇÃO_ALCOÓLICA,RECIPIENTE_DE_ARMAZENAMENTO,TIPO,PRODUTOR,LOCAL_DE_PRODUÇÃO,TEMPO_DE_ARMAZENAMENTO,ANÁLISE_SENSORIAL,HISTÓRIA_DO_ALAMBIQUE,TIPO_DO_PRODUTO,HARMONIZAÇÃO,PREMIOS,ANÁLISE_DO_CACHACIER,INFORMAÇÕES_DO_PRODUTO,MODO_DE_PRODUÇÃO,PALAVRAS_COMUMENTE_USADAS,INGREDIENTES,INFORMAÇÕES_TÉCNICAS,TEXTO_DESCRITIVO,CONSUMO
916,NOME DA CACHAÇA: Cachaça Vale Verde ( Especial Presente ),"PREÇO: R$ 99,90",['DESCRIÇÃO DA CACHAÇA: Cachaça Vale Verde Edição Presente\n\nEm 2010 a Vale Verde completou 25 anos e devido ao seu enorme sucesso lançou essa linda garrafa\n\nEnvelhecida 03 Anos em Carvalho'],Volume: 700 ml,GRADUAÇÃO ALCOÓLICA: nan,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
917,NOME DA CACHAÇA: Miniatura Cachaça Saliboa,"PREÇO: R$ 9,90","['DESCRIÇÃO DA CACHAÇA: Miniatura Cachaça Saliboa\xa0 \n\xa0\nO envelhecimento em tonéis de ipê-amarelo dá a essa cachaça um toque de elegância e sabor\ncaracterístico.', 'Do mesmo produtor das cachaças \xa0Seleta e Boazinha.', 'O Nome: Referência para Salinas (capital da cachaça) e para qualidade da bebida.', 'Produção: Caldo de cana fermentado, destilado e armazenado por dois anos.', 'Evite o consumo Excessivo de Álcool\n\xa0\nEspecialidade: Produzida para agradar apreciadores exigentes.', 'Caracteristicas\nGrad.', 'Alcool.', ':\xa045,5 % Vol.)', 'Envelhecimento: 2 anos Ipê Amarelo\nProduzida na cidade de\xa0Salinas (MG)\nConteúdo : 50 ml\nGarrafa : Miniatura\nPrazo de Validade : Indeterminado']",Volume: 50 ml,GRADUAÇÃO ALCOÓLICA: nan,,,,LOCAL DE PRODUÇÃO: nan,Tempo de Envelhecimento: 2 anos,,,,,,,,,,,,,
918,NOME DA CACHAÇA: Miniatura Boazinha,"PREÇO: R$ 9,90","['DESCRIÇÃO DA CACHAÇA: Cachaça Boazinha Miniatura 50 ml \n\n\nGrad.', 'Alcool.', ': 44 % Vol.)', 'Envelhecida em\xa0 tónel: Balsamo\nTempo de Envelhecimento: 2 á 3 Anos\nConteúdo : 50 ml\nGarrafa : miniatura\nPrazo de Validade : Indeterminado\nEvite o consumo Excessivo de Álcool']",Volume: 50 ml,Grad. Alcool: 44%,,,,LOCAL DE PRODUÇÃO: nan,Tempo de Envelhecimento: 2 anos,,,,,,,,,,,,,
919,NOME DA CACHAÇA: Miniatura Lua Nova,"PREÇO: R$ 14,90","['DESCRIÇÃO DA CACHAÇA: Cachaça Lua Nova 50 ml Do mesmo produtor da Cachaça Salinas, a Lua Nova tem seu aroma e paladar proprios Produzida na Regiãos de Salinas Envelhecimento em Umburana 2 Anos Garrafa Miniatura 50 MLEvite o consumo exessivo de Alcool']",Volume: 50 ml,GRADUAÇÃO ALCOÓLICA: nan,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
920,NOME DA CACHAÇA: Cachaça Majestade Porcelana 670 ML,"PREÇO: R$ 89,90","['DESCRIÇÃO DA CACHAÇA: Cachaça Majestade Porcelana A Cachaça Majestade a cada ano vem\xa0 conquistando mais apreciadores por todo o mundo agora com todos os meritos vem coroar sua ""MAJESTADE"" com essa linda garrafa de porcelana.', '***************************Informações do produtoGrad.', 'Alcool.', ': 44 % Vol.)', 'Envelhecida em\xa0 tónel: BalsamoTempo de Envelhecimento: 2\xa0 Anos Conteúdo : 670 ml  Garrafa : Porcelana Formato Moça  Prazo de Validade : Indeterminado  Evite o consumo Excessivo de Álcool']",Volume: 670 ml,Grad. Alcool: 44%,,,,LOCAL DE PRODUÇÃO: nan,Tempo de Envelhecimento: 2 anos,,,,,,,,,,,,,
921,NOME DA CACHAÇA: Cachaça Salideira 670 ml,"PREÇO: R$ 39,90","['DESCRIÇÃO DA CACHAÇA: Tabúa Salideira\nA Tabúa Salideira é um Blend de duas cachaças, o Bálsamo 5 anos e o Jequitibá 2 anos, mesmo possuindo aroma e gosto marcantes o resultado é uma cachaça suave.', 'Nova no mercado, mas com a qualidade tradicional e o sabor levemente apimentado, característico do bálsamo.', 'Embalagem de 670ml.']",Volume: 670 ml,GRADUAÇÃO ALCOÓLICA: nan,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
922,NOME DA CACHAÇA: Cachaça Rainbow,"PREÇO: R$ 29,90","['DESCRIÇÃO DA CACHAÇA: Cachaça RainbowA Natureza nos da esta prova.', 'O meio ambiente homogêneo é pobre e a vida ali se transforma.', 'Quanto mais diversificado e mais rico em espécies, mais vivo ele se torna.', 'É assim também com o maior espetáculo da natureza: O Arco-íris - ele prepara o ambiente para um show de cores diferentes e marcantes que se apresentam harmonicamente para aqueles que costumam olhar para transformarmos nosso mundo em um espaço de igualdade onde possamos ousar e sermos o que queremos e sonhar com o amor na sua pureza e despido de preconceitos.', 'Esta é a proposta da Cachaça Rainbow - Arco - iris.', 'Fabricada pelo Grupo Erva Doce como celebração as diferenças, a ousadia e a coragem.', 'Rainbow - Um Brinde à Diversidade Informações Grad.', 'Alcool.', ': 40 % Vol.)', 'Envelhecida em\xa0 tónel: Jequitiba RosaTempo de Envelhecimento: 3 Anos Conteúdo : 500 ml  Prazo de Validade : Indeterminado  Evite o consumo Excessivo de Álcool']",Volume: 500 ml,Grad. Alcool: 40%,,,,LOCAL DE PRODUÇÃO: nan,Tempo de Envelhecimento: 3 anos,,,,,,,,,,,,,
923,NOME DA CACHAÇA: Cachaça Sabiá 300 ML,"PREÇO: R$ 49,90","['DESCRIÇÃO DA CACHAÇA: Cachaça Sabiá 300 ml\n\n\nGrad.', 'Alcool.', ': 44 % Vol.)', 'Envelhecida em\xa0 tónel: Balsamo\nTempo de Envelhecimento: 3 anos\nConteúdo : 300 ml\nGarrafa : transparente\nPrazo de Validade : Indeterminado\nEvite o consumo Excessivo de Álcool']",Volume: 300 ml,Grad. Alcool: 44%,,,,LOCAL DE PRODUÇÃO: nan,Tempo de Envelhecimento: 3 anos,,,,,,,,,,,,,
924,NOME DA CACHAÇA: Cachaça Sabiá empalhada 700 ML,"PREÇO: R$ 99,90","['DESCRIÇÃO DA CACHAÇA: Cachaça Sabiá Empalhada 700 ml\n\nGrad.', 'Alcool.', ': 44 % Vol.)', 'Envelhecida em\xa0 tónel: Balsamo\nTempo de Envelhecimento: 10 anos\nConteúdo : 700 ml\nGarrafa : Empalhada\nPrazo de Validade : Indeterminado\nEvite o consumo Excessivo de Álcool']",Volume: 700 ml,Grad. Alcool: 44%,,,,LOCAL DE PRODUÇÃO: nan,Tempo de Envelhecimento: 10 anos,,,,,,,,,,,,,
925,NOME DA CACHAÇA: Cachaça Salinas Porcelana 670 ML,"PREÇO: R$ 59,90","['DESCRIÇÃO DA CACHAÇA: Cachaça Salinas em Porcelana 670 ML Com\r\n mais de 20 Anos de Tradição o Grupo Salinas e lider em vendas e \r\nreferencia no setor, contando com a maior e mais moderna fabrica de \r\nCachaça Artesanal do Brasil.', 'A Salinas em Balsamo tem 2 anos de Envelhecimento tornando - se uma exelente cachaça.', 'Cachaça pra quem gosta e conhece realmente de Cachaça CaracteristicasProduzida: Região de Salinas Madeira: BalsamoEnvelhecimento: 2 anos Garrafa: Porcelana 670 ML Evite o Consumo exessivo de Alcool']",Volume: 670 ml,GRADUAÇÃO ALCOÓLICA: nan,,,,Produzida em: Região,Tempo de Envelhecimento: 2 anos,,,,,,,,,,,,,
926,NOME DA CACHAÇA: Cachaça Lua Nova Porcelana 670 ML,"PREÇO: R$ 59,90","['DESCRIÇÃO DA CACHAÇA: Cachaça Lua Nova em Porcelana 670 ML Com mais de 20 Anos de Tradição o Grupo Salinas e lider em vendas e referencia no setor, contando com a maior e mais moderna fabrica de Cachaça Artesanal do Brasil.', 'A Lua Nova em Umburana tem 2 anos de Envelhecimento tornando - se uma exelente cachaça.', 'Cachaça pra quem gosta e conhece realmente de Cachaça CaracteristicasProduzida: Região de Salinas Madeira: UmburanaEnvelhecimento: 2 anos Garrafa: Porcelana 670 ML Evite o Consumo exessivo de Alcool']",Volume: 670 ml,GRADUAÇÃO ALCOÓLICA: nan,,,,Produzida em: Região,Tempo de Envelhecimento: 2 anos,,,,,,,,,,,,,
927,NOME DA CACHAÇA: Cachaça Salinas especial II  15 Anos,"PREÇO: R$ 189,90","['DESCRIÇÃO DA CACHAÇA: Cachaça Salinas Reserva Especial 15 Anos Com mais de 20 Anos de Tradição o Grupo Salinas e lider em vendas e referencia no setor, contando com a maior e mais moderna fabrica de Cachaça Artesanal do Brasil.', 'A Salinas Epecial tem 15 anos de Envelhecimento tornando - se uma exelente cachaça e traz consigo ainda uma garrafa muito bonita.', 'Cachaça pra quem gosta e conhece realmente de Cachaça CaracteristicasProduzida: Região de Salinas Madeira: BalsamoEnvelhecimento: 15 anos Garrafa: Paraibana 700 ML Evite o Consumo exessivo de Alcool']",Volume: 700 ml,GRADUAÇÃO ALCOÓLICA: nan,,,,Produzida em: Região,Tempo de Envelhecimento: 15 anos,,,,,,,,,,,,,
928,NOME DA CACHAÇA: Cachaça Jabulani Em breve !,"PREÇO: R$ 0,00",['DESCRIÇÃO DA CACHAÇA: Cachaça Jabulani Cachaça de Salinas Em Breve para todo Brasil aguardem...'],Volume: 670 ml,GRADUAÇÃO ALCOÓLICA: nan,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
929,NOME DA CACHAÇA: Cachaça Rio Salinas ouro 670 ML,"PREÇO: R$ 22,90","['DESCRIÇÃO DA CACHAÇA: Cachaça Rio Salinas 670 ML Grad.', 'Alcool.', ': 42 % Vol.)', 'Envelhecida em\xa0 tónel: BalsamoTempo de Envelhecimento: 3 Anos Conteúdo : 670 ml  Garrafa : transparente Prazo de Validade : Indeterminado  Evite o consumo Excessivo de Álcool\n\n\n\n\n\nPeso :\n\n1,100\r\n                                \xa0Kg\n\n\n\nAltura :\n\n30\r\n                                \xa0Cm\n\n\n\nLargura :\n\n8\r\n                                \xa0\r\n                                Cm\n\n\n\nComprimento :\n\n8\r\n                                \xa0Cm\n\n\n\n\n\n\n\n\n\n\nEste produto não possui avaliações']",Volume: 670 ml,Grad. Alcool: 42%,,,,LOCAL DE PRODUÇÃO: nan,Tempo de Envelhecimento: 3 anos,,,,,,,,,,,,,
930,NOME DA CACHAÇA: Cachaça Canarinha + Tubo Personalizado,"PREÇO: R$ 119,90","['DESCRIÇÃO DA CACHAÇA: Cachaça Canarinha + Tubo Personalizado \n\n\nUma das melhores Cachaças do Brasil pra quem conhece e aprecia uma boa cachaça\n\n2ª Colocada na Revista Vejá5º Colocada na Revista Playboy Julho de 2011\n\nA Canarinha faz parte da Familia Anisio Santiago, com sabor e aroma persistentes ainda que delicados.', 'Resultado de um envelhecimento por 3 anos em balsamo e claro, o seu toque especial desde a fabricação ao engarrafamento.', 'Produção limitada\n\nProduzida em\xa0 Salinas, MG\nGraduação Alcoólica: 42%\nEnvelhecimento: 3 anos em Balsamo\nConteudo: 600 ml\nGarrafa tradicional\nPrazo de validade: indeterminado\n\n\nMais um Exelente Presente']",Volume: 600 ml,Grad. Alcool: 42%,,,,LOCAL DE PRODUÇÃO: nan,Tempo de Envelhecimento: 3 anos,,,,,,,,,,,,,
931,NOME DA CACHAÇA: Cachaça Salivana Prata 670 ml,"PREÇO: R$ 79,90","['DESCRIÇÃO DA CACHAÇA: Cachaça Salivana Prata 670 ML \n\n\xa0\n\nA Cachaça Salivana e produzida pelo mesmo fabricante da Cachaça Beija - Flor\n\nA\xa0 Produção e feita de forma muito cuidadosa são canas selecionadas e todo um cuidado especial na produção fazem da cachaça Salivana Prata umas das mais saborosas da nossa região Ideal para drinks e Caipirinha mais\xa0 uma exelente pedida e tem aprovação da nossa loja e de nosos consumidores.', 'Graduação Alcolica: 42% Vol\n\nDescança em Toneis de Aço Inox\n\nConteudo: 670 ML\n\nGarrafa: Tradicional\n\nPrazo de Validade: Indeterminado\n\n\nEvite o consumo Exessivo de Àlcool']",Volume: 670 ml,GRADUAÇÃO ALCOÓLICA: nan,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
932,NOME DA CACHAÇA: Meia Lua Prata 700 ML,"PREÇO: R$ 34,90","['DESCRIÇÃO DA CACHAÇA: Meia Lua Prata 700 ML \n\nGrad.', 'Alcool.', ': 43 % Vol.)', 'Armazenada em\xa0 tónel de Jequitiba\nConteúdo : 700 ml\nGarrafa : Transparente\nPrazo de Validade : Indeterminado\nEvite o consumo Excessivo de Álcool\n\nIdeal para Caipirinha']",Volume: 700 ml,Grad. Alcool: 43%,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
933,NOME DA CACHAÇA: Cachaça Cubana 700 ML,"PREÇO: R$ 24,90","['DESCRIÇÃO DA CACHAÇA: Cubana 700 ML Grad.', 'Alcool : 47,0 %Produzida na cidade de\xa0Salinas (MG)Conteúdo : 700 ml Garrafa : transparente Prazo de Validade : Indeterminado Evite o consumo Excessivo de Álcool\xa0 Produzida\xa0Artesanalmente']",Volume: 700 ml,GRADUAÇÃO ALCOÓLICA: nan,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
934,NOME DA CACHAÇA: Dona Moça Porcelana,"PREÇO: R$ 59,90","['DESCRIÇÃO DA CACHAÇA: Dona Moça Porcelana Em Formato de Mocinha essa e a Campeã de Vendas Envelhecida em Toneis de Carvalho por 4 Anos com a sua produção Limitada.', 'A Cachaça Dona Moça Vem conquistando apreciadores de todo o mundo.', 'Alem de ser uma exelente Cachaça e um Exelente Presente, concerteza a pessoa presenteada vai ficar muito Surpresa e Feliz.', 'Produzida em Salinas - MG Grad.', 'Alcool.', ': 44 % Vol.)', 'Conteúdo : 600 ml  Garrafa : Porcelana com tampa de Rolha  Prazo de Validade : Indeterminado  Evite o Consumo Excessivo de ÁlcoolMais um Produto com a exclusividade Cachaça & Pinga']",Volume: 600 ml,Grad. Alcool: 44%,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
935,NOME DA CACHAÇA: Miniatura Salimel,"PREÇO: R$ 9,90","['DESCRIÇÃO DA CACHAÇA: Salimel 50 ML \n\nGrad.', 'Alcool.', ': 42 % Vol.)', 'Conteúdo : 500 ml\nGarrafa : Miniatura\nPrazo de Validade : Indeterminado\nEvite o consumo Excessivo de Álcool']",Volume: 50 ml,Grad. Alcool: 42%,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
936,NOME DA CACHAÇA: Cachaça Sentinela 500 ML,"PREÇO: R$ 49,90","['DESCRIÇÃO DA CACHAÇA: Cachaça Sentinela 500 ml\nHistórico da Fazenda orgânica\nA “Fazenda Arrozal do Isidoro” situada na região da Matrona, conhecida e certificada como uma das melhores terras do município de Salinas/MG, foi adquirida em 25/01/1995 pelo proprietário Dioceno Pereira Leite.', 'Verificando que se tratava de um solo preto e de boa qualidade, foi iniciado a coleta de várias amostras de terra e encaminhadas para o laboratório, objetivando fazer uma análise técnica do solo.', 'O resultado foi surpreendente.', 'Apresentou uma qualidade acima da expectativa.', 'Logo em seguida, foram implantadas técnicas de melhoria da qualidade da terra através de estudos e contatos com especialistas da área que repassaram a utilização de técnicas eficientes.', 'Todo processo foi iniciado com o plantio direto, compostagem, feita com produtos naturais, rotação de cultura, adubo verde cultivando várias leguminosas como, lambe-lambe, mucuna preta, feijão-guandu e leocena.', 'Estas leguminosas oferecem uma grande quantidade de material orgânico e bactérias fixadoras de nitrogênio.', 'Em 2002, estando com a terra bem trabalhada organicamente, foi feito o contato com a Certificadora Minas Orgânica, situada em Belo Horizonte/MG e recebeu a visita do Dr. Alexandre Vidal, médico veterinário, para inspecionar e orientar devidamente todos os funcionários da fazenda dando todas as orientações do que é permitido para que uma fazenda tenha certificado de orgânica.', 'Com o auxílio deste técnico, foi feito um mapeamento de 5 hectares para iniciar o processo orgânico.', 'Inúmeras mudanças foram ocorrendo, tanto na prática, como na reversão dos valores e conceitos ambientais envolvendo todos os funcionários e trabalhadores que foram sensibilizados e conscientizados pelo novo modelo da fazenda e sua preservação ambiental.', 'Em 2005, a fazenda já registrada como orgânica, sob o registro Nº MG074, estava com todas as condições de produzir qualquer produto orgânico, e, não existindo nenhum produtor de cachaça orgânica na região de Salinas/MG, foi optado pelo plantio da cana orgânica para a produção da Cachaça Orgânica Sentinela.', 'Para iniciar o plantio, necessitava de mudas orgânicas.', 'Foram feitas pesquisas em várias certificadoras de produtos orgânicos e não conseguindo a cana na região, o técnico da certificadora orientou para que utilizasse a cana convencional produzida na Escola Agrotécnica Federal de Salinas/MG, onde é ministrado o 1º curso superior do mundo, em Tecnologia e Produção de Cachaça.', 'Destas mudas convencionais fez-se um viveiro em terra orgânica.', 'Somente em 2006 foi feito o 1º corte e assim iniciou-se o plantio da cana orgânica para fabricação da Cachaça Sentinela, perfeitamente orgânica.', 'Grad.', 'Alcool :\xa041,0 %\nProduzida na cidade de\xa0Salinas (MG)\nContedo : 500 ml\nGarrafa : transparente cachaca do Brasil\nPrazo de Validade : Indeterminado\nEvite o consumo Excessivo de alcool\nProduzida\xa0Artesanalmente']",Volume: 500 ml,GRADUAÇÃO ALCOÓLICA: nan,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
937,NOME DA CACHAÇA: Cachaça Serra Morena,"PREÇO: R$ 89,90","['DESCRIÇÃO DA CACHAÇA: Cachaça Serra Morena\xa0 600 ML Do mesmo Produtor da Cachaça Piragibana Grad.', 'Alcool.', ':\xa048,6 % Vol.)', 'Produzida na cidade de\xa0Salinas (MG)Conteúdo: 600 ml Garrafa: tradicionalPrazo de Validade: Indeterminado\r\n Evite o consumo Excessivo de Álcool']",Volume: 600 ml,GRADUAÇÃO ALCOÓLICA: nan,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
938,NOME DA CACHAÇA: Cachaça Salivana Prata 600 ML,"PREÇO: R$ 29,90","['DESCRIÇÃO DA CACHAÇA: Cachaça Salivana Prata 600 ML \n\n\r\nA Cachaça Salivana e produzida pelo mesmo fabricante da Cachaça Beija - Flor \n\r\nA\xa0 Produção e feita de forma muito cuidadosa são canas selecionadas e todo um cuidado especial na produção fazem da cachaça Salivana Prata\xa0\r\n umas das mais saborosas da nossa região Ideal para drinks e Caipirinha mais\xa0 uma exelente pedida e tem aprovação da nossa \r\nloja e de nosos consumidores.', 'Graduação Alcolica: 42% Vol\r\nDescança em Toneis de Aço Inox \r\nConteudo: 600 ML \r\nGarrafa: Tradicional \r\nPrazo de Validade: Indeterminado \r\nEvite o consumo Exessivo de Àlcool']",Volume: 600 ml,GRADUAÇÃO ALCOÓLICA: nan,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
939,NOME DA CACHAÇA: Cachaça Salivana 600 ML GP,"PREÇO: R$ 29,90","['DESCRIÇÃO DA CACHAÇA: Cachaça Salivana 600 ML A Cachaça Salivana e produzida pelo mesmo fabricante da Cachaça Beija - Flor A\xa0 Produção e feita de forma muito cuidadosa são canas selecionadas e todo um cuidado especial na produção fazem da cachaça Salivana umas das mais saborosas da nossa região envelhecida em toneis de umburana por 2 anos essa e uma exelente pedida e tem aprovação da nossa loja e de nosos consumidores.', 'Graduação Alcolica: 42% VolEnvelhecimento por 2 anos em Umburana Conteudo: 600 ML Garrafa: Tradicional Prazo de Validade: Indeterminado Evite o consumo Exessivo de Àlcool']",Volume: 600 ml,GRADUAÇÃO ALCOÓLICA: nan,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
940,NOME DA CACHAÇA: Cachaça Lua Cheia 670 ML,"PREÇO: R$ 94,90","['DESCRIÇÃO DA CACHAÇA: Início\nTudo começou em 1972 quando o Sr. João Fernandes Sobrinho homem simples das circunvizinhanças da cidade de Salinas, Minas Gerais, iniciou sua produção muito humilde e simples de aguardente de cana, ali, na Fazenda Jacurutu, com muita dificuldade e lutas.', 'Nasceu naquela busca constante pela sobrevivência de seus entes queridos um produto especial, que hoje, conhecido como CACHAÇA LUA CHEIA, alcançou os bares, restaurantes, shopping centers, e todas as mesas daqueles apreciadores da legítima cachaça artesanal brasileira.', 'Grad.', 'Alcool: 45% vol.', 'Produzida na cidade de\xa0Salinas (MG)\nConteúdo: 670 ml\nGarrafa: transparente']",Volume: 670 ml,GRADUAÇÃO ALCOÓLICA: nan,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
941,NOME DA CACHAÇA: Cachaça Rio Salinas Prata 670,"PREÇO: R$ 22,90","['DESCRIÇÃO DA CACHAÇA: Grad.', 'Alcool.', ': 42 % Vol.)', 'Conteúdo : 670 ml Envelhecimento: 2 anos em\xa0 Jequitiba  Garrafa : transparente Prazo de Validade : Indeterminado  Evite o consumo Excessivo de Álcool']",Volume: 670 ml,Grad. Alcool: 42%,,,,LOCAL DE PRODUÇÃO: nan,Tempo de Envelhecimento: 2 anos,,,,,,,,,,,,,
942,NOME DA CACHAÇA: Cachaça Rio Salinas Ouro 600 ml,"PREÇO: R$ 15,90","['DESCRIÇÃO DA CACHAÇA: Grad.', 'Alcool.', ': 42 % Vol.)', 'Envelhecida em\xa0 tónel: BalsamoTempo de Envelhecimento: 3 Anos Conteúdo : 600 ml  Garrafa : tradicional Prazo de Validade : Indeterminado  Evite o consumo Excessivo de Álcool']",Volume: 600 ml,Grad. Alcool: 42%,,,,LOCAL DE PRODUÇÃO: nan,Tempo de Envelhecimento: 3 anos,,,,,,,,,,,,,
943,NOME DA CACHAÇA: Cachaça Segredo de Salinas,"PREÇO: R$ 14,90","['DESCRIÇÃO DA CACHAÇA: Grad.', 'Alcool.', ': 42 % Vol.)', 'Conteúdo : 670 ml  Garrafa : tradicional Prazo de Validade : Indeterminado  Evite o consumo Excessivo de Álcool']",Volume: 670 ml,Grad. Alcool: 42%,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
944,NOME DA CACHAÇA: Cachaça Salimel 670 ML,"PREÇO: R$ 59,90","['DESCRIÇÃO DA CACHAÇA: Cachaça Salimel 670 ML \n\nGrad.', 'Alcool.', ': 42 % Vol.)', 'Conteúdo : 670 ml\nGarrafa : tradicional\nPrazo de Validade : Indeterminado\nEvite o consumo Excessivo de Álcool']",Volume: 670 ml,Grad. Alcool: 42%,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
945,NOME DA CACHAÇA: Cachaça Sabor de Salinas,"PREÇO: R$ 15,90","['DESCRIÇÃO DA CACHAÇA: Grad.', 'Alcool.', ': 40 % Vol.)', 'Envelhecida em\xa0 tónel de Balsamo Tempo de Envelhecimento: 3 anos  Conteúdo : 670 ml  Garrafa : tradicional Prazo de Validade : Indeterminado  Evite o consumo Excessivo de Álcool']",Volume: 670 ml,Grad. Alcool: 40%,,,,LOCAL DE PRODUÇÃO: nan,Tempo de Envelhecimento: 3 anos,,,,,,,,,,,,,
946,NOME DA CACHAÇA: Cachaça Memoria de Salinas,"PREÇO: R$ 14,90","['DESCRIÇÃO DA CACHAÇA: Grad.', 'Alcool.', ': 42 % Vol.)', 'Conteúdo : 670 ml  Garrafa : tradicional Prazo de Validade : Indeterminado  Evite o consumo Excessivo de Álcool']",Volume: 670 ml,Grad. Alcool: 42%,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
947,NOME DA CACHAÇA: Cachaça Meia Lua 670 ml,"PREÇO: R$ 35,90","['DESCRIÇÃO DA CACHAÇA: Grad.', 'Alcool.', ': 43 % Vol.)', 'Envelhecida em\xa0 tónel: Balsamo\nTempo de Envelhecimento: 2 Anos\nConteúdo : 670 ml\nGarrafa : tradicional\nPrazo de Validade : Indeterminado\nEvite o consumo Excessivo de Álcool']",Volume: 670 ml,Grad. Alcool: 43%,,,,LOCAL DE PRODUÇÃO: nan,Tempo de Envelhecimento: 2 anos,,,,,,,,,,,,,
948,NOME DA CACHAÇA: Cachaça Indiana,"PREÇO: R$ 22,90","['DESCRIÇÃO DA CACHAÇA: Grad.', 'Alcool.', ': 44 % Vol.)', 'Conteúdo : 670 ml  Garrafa : tradicional Prazo de Validade : Indeterminado  Evite o consumo Excessivo de Álcool']",Volume: 670 ml,Grad. Alcool: 44%,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
949,NOME DA CACHAÇA: Cachaça Flor de Salinas 700 ML,"PREÇO: R$ 28,90","['DESCRIÇÃO DA CACHAÇA: Grad.', 'Alcool.', ': 43 % Vol.)', 'Envelhecida em\xa0 tónel: BalsamoTempo de Envelhecimento: 2\xa0 Anos Conteúdo :700 ml  Garrafa : tradicional Prazo de Validade : Indeterminado  Evite o consumo Excessivo de Álcool']",Volume: 700 ml,Grad. Alcool: 43%,,,,LOCAL DE PRODUÇÃO: nan,Tempo de Envelhecimento: 2 anos,,,,,,,,,,,,,
950,NOME DA CACHAÇA: Cachaça Erva Doce 750 ML Especial,"PREÇO: R$ 99,90","['DESCRIÇÃO DA CACHAÇA: Cachaça Erva Doce 750 ML\nGrad.', 'Alc.', '39% Vol\nArmazenada Em Carvalho e Senna Macranthera\nGarrafa : Especial 750 ML\nPrazo de Validade : Indeterminado\nEvite o consumo excessivo de Alcool']",Volume: 750 ml,GRADUAÇÃO ALCOÓLICA: nan,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
951,NOME DA CACHAÇA: Cachaça Dona Moça,"PREÇO: R$ 21,00","['DESCRIÇÃO DA CACHAÇA: Cachaça Dona Moça Envelhecida em Toneis de Carvalho por 4 Anos com a sua produção Limitada.', 'A Cachaça Dona Moça Vem conquistando apreciadores de todo o mundo.', 'Alem de ser uma exelente Cachaça e um Exelente Presente.Produzida em Salinas - MG Grad.', 'Alcool.', ': 44 % Vol.)', 'Envelhecida em CarvalhoConteúdo : 670 ml  Garrafa : Tranparente Prazo de Validade : Indeterminado  Evite o Consumo Excessivo de Álcool']",Volume: 670 ml,Grad. Alcool: 44%,,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
952,NOME DA CACHAÇA: Cachaça Contendas,"PREÇO: R$ 99,90","['DESCRIÇÃO DA CACHAÇA: Cachaça Contendas\xa0 600 MLDo mesmo Produtor da Cachaça Piragibana Grad.', 'Alcool.', ': 46,8 % Vol.)', 'Conteúdo : 600 ml  Garrafa : tradicional Prazo de Validade : Indeterminado  Evite o consumo Excessivo de Álcool']",Volume: 600 ml,"Grad. Alcool: 46,8%",,,,LOCAL DE PRODUÇÃO: nan,TEMPO DE ARMAZENAMENTO: nan,,,,,,,,,,,,,
