,palavras,Arthur,Thiago,Priscilla
12227,1000ml,VOLUME,VOLUME,VOLUME
12228,Minas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12229,Gerais,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12230,Nova,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12231,União,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12232,MG,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12233,inox,o,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
12234,mínimo,o,TEMPO_ARMAZENAMENTO,o
12235,90,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12236,dias,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12237,40%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
12238,1000,VOLUME,VOLUME,VOLUME
12239,ml,VOLUME,VOLUME,VOLUME
12240,Germana,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12241,Soul,o,NOME_BEBIDA,NOME_BEBIDA
12242,leve,o,CARACTERISTICA_SENSORIAL_SABOR,o
12243,40%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
12244,branca,CARACTERISTICA_SENSORIAL_COR,o,o
12245,cremoso,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,o
12246,denso,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,o
12247,suave,o,CARACTERISTICA_SENSORIAL_SABOR,o
12248,de,o,CARACTERISTICA_SENSORIAL_SABOR,o
12249,cana,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,o
12250,-,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,o
12251,de,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,o
12252,-,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,o
12253,açúcar,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,o
12254,Soul,NOME_BEBIDA,o,NOME_BEBIDA
12255,tonéis,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,o
12256,de,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
12257,inox,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
12258,1000,VOLUME,VOLUME,VOLUME
12259,ML,VOLUME,VOLUME,VOLUME
12260,Jacuba,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12261,Prata,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
12262,750,VOLUME,VOLUME,VOLUME
12263,ML,VOLUME,VOLUME,VOLUME
12264,R$89,PRECO,PRECO,PRECO
12265,",",PRECO,PRECO,PRECO
12266,99,PRECO,PRECO,PRECO
12267,Jacuba,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12268,Prata,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
12269,750,VOLUME,VOLUME,VOLUME
12270,ML,VOLUME,VOLUME,VOLUME
12271,Coronel,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12272,Xavier,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12273,Chaves,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12274,Minas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12275,Gerais,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12276,40%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
12277,750ml,VOLUME,VOLUME,VOLUME
12278,Prata,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
12279,750,VOLUME,VOLUME,VOLUME
12280,ML,VOLUME,VOLUME,VOLUME
12281,Coronel,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12282,Xavier,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12283,Chaves,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12284,Minas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12285,Gerais,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12286,Beleza,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12287,de,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12288,Minas,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12289,Ouro,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
12290,1,VOLUME,VOLUME,VOLUME
12291,Litro,VOLUME,VOLUME,VOLUME
12292,R$59,PRECO,PRECO,PRECO
12293,",",PRECO,PRECO,PRECO
12294,90,PRECO,PRECO,PRECO
12295,Beleza,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12296,de,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12297,Minas,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12298,Ouro,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
12299,1,VOLUME,VOLUME,VOLUME
12300,Litro,VOLUME,VOLUME,VOLUME
12301,Salinas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12302,Minas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12303,Gerais,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12304,Castanheira,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
12305,Louro,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
12306,Canela,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
12307,43%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
12308,1000ml,VOLUME,VOLUME,VOLUME
12309,2,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12310,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12311,Castanheira,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
12312,Louro,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
12313,Canela,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
12314,Salinas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12315,Minas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12316,Gerais,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12317,2,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12318,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12319,Premium,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
12320,Jequitibá,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
12321,700ml,VOLUME,VOLUME,VOLUME
12322,Dom,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12323,Tápparo,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12324,R$119,PRECO,PRECO,PRECO
12325,",",PRECO,PRECO,PRECO
12326,00,PRECO,PRECO,PRECO
12327,Dom,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12328,Tápparo,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12329,Premium,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
12330,6,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12331,Anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12332,700,VOLUME,VOLUME,VOLUME
12333,ml,VOLUME,VOLUME,VOLUME
12334,6,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12335,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12336,Toneis,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
12337,Jequitibá,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
12338,38%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
12339,700,VOLUME,VOLUME,VOLUME
12340,ML,VOLUME,VOLUME,VOLUME
12341,Mirassol,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12342,SP,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12343,barris,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,TIPO_MADEIRA
12344,Jequitibá,TIPO_MADEIRA,TIPO_MADEIRA,o
12345,rosa,TIPO_MADEIRA,TIPO_MADEIRA,o
12346,leves,o,CARACTERISTICA_SENSORIAL_SABOR,o
12347,baixa,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,o
12348,acidez,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,o
12349,700ml,VOLUME,VOLUME,VOLUME
12350,Mirassol,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12351,SP,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12352,Cabaré,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12353,Extra,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
12354,Premium,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
12355,15,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12356,Anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12357,700ml,VOLUME,VOLUME,VOLUME
12358,R$399,PRECO,PRECO,PRECO
12359,",",PRECO,PRECO,PRECO
12360,99,PRECO,PRECO,PRECO
12361,Cabaré,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12362,Extra,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
12363,Premium,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
12364,15,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12365,Anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12366,700ml,VOLUME,VOLUME,VOLUME
12367,Mirassol,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12368,SP,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12369,Carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
12370,15,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12371,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12372,38%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
12373,700,VOLUME,VOLUME,VOLUME
12374,ml,VOLUME,VOLUME,VOLUME
12375,Cabaré,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12376,15,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12377,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12378,tonéis,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
12379,carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
12380,europeu,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
12381,Leonardo,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
12382,Eduardo,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
12383,Costa,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
12384,engenho,o,NOME_ORGANIZACAO,o
12385,Dom,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12386,Tápparo,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12387,2019,o,TEMPO,TEMPO
12388,Brasil,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12389,São,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12390,Paulo,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12391,2018,TEMPO,TEMPO,TEMPO
12392,Bruxelas,NOME_LOCAL,o,NOME_LOCAL
12393,Brasil,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12394,2017,TEMPO,TEMPO,NOME_LOCAL
12395,Bruxelas,NOME_LOCAL,o,NOME_LOCAL
12396,Brasil,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12397,2017,TEMPO,TEMPO,TEMPO
12398,2016,TEMPO,TEMPO,TEMPO
12399,Bruxelas,NOME_LOCAL,o,NOME_LOCAL
12400,Brasil,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12401,2016,TEMPO,TEMPO,TEMPO
12402,Belo,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12403,Horizonte,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12404,MG,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12405,Super,o,CLASSIFICACAO_BEBIDA,o
12406,Premium,o,CLASSIFICACAO_BEBIDA,o
12407,700ml,VOLUME,VOLUME,VOLUME
12408,Carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
12409,Mirassol,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12410,SP,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12411,15,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12412,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12413,Rapariga,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12414,350,VOLUME,VOLUME,VOLUME
12415,ML,VOLUME,VOLUME,VOLUME
12416,R$29,PRECO,PRECO,PRECO
12417,",",PRECO,PRECO,PRECO
12418,90,PRECO,PRECO,PRECO
12419,Rapariga,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12420,350,VOLUME,VOLUME,VOLUME
12421,ML,VOLUME,VOLUME,VOLUME
12422,Alambique,EQUIPAMENTO_DESTILACAO,EQUIPAMENTO_DESTILACAO,EQUIPAMENTO_DESTILACAO
12423,350,VOLUME,VOLUME,VOLUME
12424,ML,VOLUME,VOLUME,VOLUME
12425,Ceará,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12426,400,TEMPO,TEMPO,TEMPO
12427,anos,TEMPO,TEMPO,TEMPO
12428,atrás,o,TEMPO,o
12429,Serra,o,NOME_LOCAL,NOME_LOCAL
12430,de,o,NOME_LOCAL,NOME_LOCAL
12431,Ibiapaba,o,NOME_LOCAL,NOME_LOCAL
12432,Viçosa,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12433,Ce,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12434,Alambique,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12435,Mamulengo,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12436,38%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
12437,350,VOLUME,VOLUME,VOLUME
12438,ML,VOLUME,VOLUME,VOLUME
12439,350,VOLUME,VOLUME,VOLUME
12440,ML,VOLUME,VOLUME,VOLUME
12441,Rapariga,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12442,Pau,o,NOME_BEBIDA,NOME_BEBIDA
12443,D`Agua,o,NOME_BEBIDA,NOME_BEBIDA
12444,500,VOLUME,VOLUME,VOLUME
12445,ML,VOLUME,VOLUME,VOLUME
12446,R$89,PRECO,PRECO,PRECO
12447,",",PRECO,PRECO,PRECO
12448,90,PRECO,PRECO,PRECO
12449,Rapariga,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12450,Pau,o,NOME_BEBIDA,NOME_BEBIDA
12451,D`Agua,o,NOME_BEBIDA,NOME_BEBIDA
12452,500,VOLUME,VOLUME,VOLUME
12453,ML,VOLUME,VOLUME,VOLUME
12454,Alambique,EQUIPAMENTO_DESTILACAO,EQUIPAMENTO_DESTILACAO,o
12455,500,VOLUME,VOLUME,o
12456,ML,VOLUME,VOLUME,o
12457,Ceará,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12458,mais,o,TEMPO,o
12459,de,o,TEMPO,o
12460,400,TEMPO,TEMPO,TEMPO
12461,anos,TEMPO,TEMPO,TEMPO
12462,atrás,o,TEMPO,o
12463,serra,o,NOME_LOCAL,NOME_LOCAL
12464,de,o,NOME_LOCAL,NOME_LOCAL
12465,Ibiapaba,o,NOME_LOCAL,NOME_LOCAL
12466,Viçosa,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12467,Ce,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12468,alambique,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12469,mamulengo,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12470,38%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
12471,500,VOLUME,VOLUME,VOLUME
12472,ML,VOLUME,VOLUME,VOLUME
12473,500,VOLUME,VOLUME,VOLUME
12474,ML,VOLUME,VOLUME,VOLUME
12475,Rapariga,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12476,500,VOLUME,VOLUME,VOLUME
12477,ML,VOLUME,VOLUME,VOLUME
12478,R$39,PRECO,PRECO,PRECO
12479,",",PRECO,PRECO,PRECO
12480,90,PRECO,PRECO,PRECO
12481,Rapariga,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12482,500,VOLUME,VOLUME,VOLUME
12483,ML,VOLUME,VOLUME,VOLUME
12484,Alambique,EQUIPAMENTO_DESTILACAO,EQUIPAMENTO_DESTILACAO,EQUIPAMENTO_DESTILACAO
12485,500,VOLUME,VOLUME,VOLUME
12486,ML,VOLUME,VOLUME,VOLUME
12487,Ceará,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12488,mais,o,TEMPO,o
12489,de,o,TEMPO,o
12490,400,TEMPO,TEMPO,TEMPO
12491,anos,TEMPO,TEMPO,TEMPO
12492,atrás,o,TEMPO,o
12493,serra,o,NOME_LOCAL,NOME_LOCAL
12494,de,o,NOME_LOCAL,NOME_LOCAL
12495,Ibiapaba,o,NOME_LOCAL,NOME_LOCAL
12496,Viçosa,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12497,Ce,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12498,alambique,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12499,mamulengo,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12500,38%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
12501,500,VOLUME,VOLUME,VOLUME
12502,ML,VOLUME,VOLUME,VOLUME
12503,500,VOLUME,VOLUME,VOLUME
12504,ML,VOLUME,VOLUME,VOLUME
12505,Maria,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12506,Bonita,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12507,P,o,o,NOME_BEBIDA
12508,Alambique,EQUIPAMENTO_DESTILACAO,EQUIPAMENTO_DESTILACAO,EQUIPAMENTO_DESTILACAO
12509,160,VOLUME,VOLUME,VOLUME
12510,ml,VOLUME,VOLUME,VOLUME
12511,R$49,PRECO,PRECO,PRECO
12512,",",PRECO,PRECO,PRECO
12513,90,PRECO,PRECO,PRECO
12514,Maria,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12515,Bonita,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12516,P,o,o,NOME_BEBIDA
12517,Alambique,EQUIPAMENTO_DESTILACAO,EQUIPAMENTO_DESTILACAO,EQUIPAMENTO_DESTILACAO
12518,160,VOLUME,VOLUME,VOLUME
12519,ml,VOLUME,VOLUME,VOLUME
12520,Ceará,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12521,mais,o,TEMPO,o
12522,de,o,TEMPO,o
12523,400,TEMPO,TEMPO,TEMPO
12524,anos,TEMPO,TEMPO,TEMPO
12525,atrás,o,TEMPO,o
12526,serra,o,NOME_LOCAL,NOME_LOCAL
12527,de,o,NOME_LOCAL,NOME_LOCAL
12528,Ibiapaba,o,NOME_LOCAL,NOME_LOCAL
12529,Viçosa,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12530,Ce,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12531,alambique,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12532,mamulengo,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12533,38%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
12534,160,VOLUME,VOLUME,VOLUME
12535,ML,VOLUME,VOLUME,VOLUME
12536,160,VOLUME,VOLUME,VOLUME
12537,ml,VOLUME,VOLUME,VOLUME
12538,Serra,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12539,das,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12540,Almas,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12541,Prata,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
12542,700,VOLUME,VOLUME,VOLUME
12543,ML,VOLUME,VOLUME,VOLUME
12544,R$69,PRECO,PRECO,PRECO
12545,",",PRECO,PRECO,PRECO
12546,90,PRECO,PRECO,PRECO
12547,Serra,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12548,das,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12549,Almas,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12550,Prata,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
12551,670,VOLUME,VOLUME,VOLUME
12552,ml,VOLUME,VOLUME,VOLUME
12553,Brancas,o,CLASSIFICACAO_BEBIDA,o
12554,branquinha,CARACTERISTICA_SENSORIAL_COR,o,o
12555,suave,o,CARACTERISTICA_SENSORIAL_SABOR,o
12556,licorosa,o,o,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA
12557,Rio,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12558,de,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12559,Contas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12560,Chapada,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12561,Diamantina,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12562,Bahia,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12563,Brasil,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12564,Fazenda,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12565,Vaccaro,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12566,2002,TEMPO,TEMPO,TEMPO
12567,Associação,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12568,Baiana,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12569,dos,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12570,Produtores,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12571,de,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12572,Cachaça,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12573,de,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12574,Qualidade,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
12575,Brancas,o,CLASSIFICACAO_BEBIDA,o
12576,Revista,NOME_ORGANIZACAO,o,o
12577,VIP,NOME_ORGANIZACAO,o,o
12578,2011,TEMPO,TEMPO,TEMPO
12579,700,VOLUME,VOLUME,VOLUME
12580,ML,VOLUME,VOLUME,VOLUME
12581,Rio,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12582,de,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12583,Contas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12584,Chapada,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12585,Diamantina,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12586,Bahia,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12587,Brasil,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
12588,Brancas,o,CLASSIFICACAO_BEBIDA,o
12589,Revista,NOME_ORGANIZACAO,o,o
12590,VIP,NOME_ORGANIZACAO,o,o
12591,2011,TEMPO,TEMPO,TEMPO
12592,Coqueiro,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12593,Ouro,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
12594,700ML,VOLUME,VOLUME,VOLUME
12595,3,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12596,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12597,Carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
12598,R$83,PRECO,PRECO,PRECO
12599,",",PRECO,PRECO,PRECO
12600,90,PRECO,PRECO,PRECO
12601,Coqueiro,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
12602,Ouro,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
12603,700ML,VOLUME,VOLUME,VOLUME
12604,3,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12605,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
12606,Carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
