,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento,Particao,Identificacao_Treino_Teste
10271,mostrou,O,8652,84,91,668,8,teste
10272,a,O,8652,92,93,668,8,teste
10273,que,O,8652,94,97,668,8,teste
10274,veio,O,8652,98,102,668,8,teste
10275,",",O,8652,102,103,668,8,teste
10276,reafirmando,O,8652,104,115,668,8,teste
10277,sua,O,8652,116,119,668,8,teste
10278,posição,O,8652,120,127,668,8,teste
10279,entre,O,8652,128,133,668,8,teste
10280,as,O,8652,134,136,668,8,teste
10281,melhores,O,8652,137,145,668,8,teste
10282,bebidas,O,8652,146,153,668,8,teste
10283,da,O,8652,154,156,668,8,teste
10284,categoria,O,8652,157,166,668,8,teste
10285,.,O,8652,166,167,668,8,teste
10286,NY,B-NOME_LOCAL,8653,0,2,668,8,teste
10287,International,O,8653,3,16,668,8,teste
10288,Spirits,O,8653,17,24,668,8,teste
10289,Competition,O,8653,25,36,668,8,teste
10290,Medalha,O,8653,37,44,668,8,teste
10291,Silver,O,8653,45,51,668,8,teste
10292,O,O,8653,52,53,668,8,teste
10293,New,B-NOME_LOCAL,8653,54,57,668,8,teste
10294,York,I-NOME_LOCAL,8653,58,62,668,8,teste
10295,International,O,8653,63,76,668,8,teste
10296,Spirits,O,8653,77,84,668,8,teste
10297,Competition,O,8653,85,96,668,8,teste
10298,é,O,8653,97,98,668,8,teste
10299,um,O,8653,99,101,668,8,teste
10300,renomado,O,8653,102,110,668,8,teste
10301,prêmio,O,8653,111,117,668,8,teste
10302,internacional,O,8653,118,131,668,8,teste
10303,",",O,8653,131,132,668,8,teste
10304,que,O,8653,133,136,668,8,teste
10305,conta,O,8653,137,142,668,8,teste
10306,com,O,8653,143,146,668,8,teste
10307,um,O,8653,147,149,668,8,teste
10308,júri,O,8653,150,154,668,8,teste
10309,seleto,O,8653,155,161,668,8,teste
10310,",",O,8653,161,162,668,8,teste
10311,composto,O,8653,163,171,668,8,teste
10312,exclusivamente,O,8653,172,186,668,8,teste
10313,por,O,8653,187,190,668,8,teste
10314,especialistas,O,8653,191,204,668,8,teste
10315,envolvidos,O,8653,205,215,668,8,teste
10316,no,O,8653,216,218,668,8,teste
10317,mercado,O,8653,219,226,668,8,teste
10318,.,O,8653,226,227,668,8,teste
10319,Este,O,8654,0,4,668,8,teste
10320,ano,O,8654,5,8,668,8,teste
10321,",",O,8654,8,9,668,8,teste
10322,Sagatiba,B-NOME_BEBIDA,8654,10,18,668,8,teste
10323,Cristalina,I-NOME_BEBIDA,8654,19,29,668,8,teste
10324,se,O,8654,30,32,668,8,teste
10325,consagrou,O,8654,33,42,668,8,teste
10326,na,O,8654,43,45,668,8,teste
10327,premiação,O,8654,46,55,668,8,teste
10328,",",O,8654,55,56,668,8,teste
10329,convertendo,O,8654,57,68,668,8,teste
10330,o,O,8654,69,70,668,8,teste
10331,seu,O,8654,71,74,668,8,teste
10332,sabor,O,8654,75,80,668,8,teste
10333,e,O,8654,81,82,668,8,teste
10334,aroma,O,8654,83,88,668,8,teste
10335,únicos,O,8654,89,95,668,8,teste
10336,em,O,8654,96,98,668,8,teste
10337,uma,O,8654,99,102,668,8,teste
10338,importantíssima,O,8654,103,118,668,8,teste
10339,medalha,O,8654,119,126,668,8,teste
10340,Silver,O,8654,127,133,668,8,teste
10341,!,O,8654,133,134,668,8,teste
10342,Blue,O,8655,0,4,668,8,teste
10343,Lifestyle,O,8655,5,14,668,8,teste
10344,Seal,O,8655,15,19,668,8,teste
10345,Of,O,8655,20,22,668,8,teste
10346,Approval,O,8655,23,31,668,8,teste
10347,92,O,8655,32,34,668,8,teste
10348,pontos,O,8655,35,41,668,8,teste
10349,Todos,O,8655,42,47,668,8,teste
10350,os,O,8655,48,50,668,8,teste
10351,anos,O,8655,51,55,668,8,teste
10352,",",O,8655,55,56,668,8,teste
10353,no,O,8655,57,59,668,8,teste
10354,prêmio,O,8655,60,66,668,8,teste
10355,Blue,O,8655,67,71,668,8,teste
10356,Lifestyle,O,8655,72,81,668,8,teste
10357,",",O,8655,81,82,668,8,teste
10358,mais,O,8655,83,87,668,8,teste
10359,de,O,8655,88,90,668,8,teste
10360,5,O,8655,91,92,668,8,teste
10361,.,O,8655,92,93,668,8,teste
10362,500,O,8655,93,96,668,8,teste
10363,bebidas,O,8655,97,104,668,8,teste
10364,são,O,8655,105,108,668,8,teste
10365,avaliadas,O,8655,109,118,668,8,teste
10366,por,O,8655,119,122,668,8,teste
10367,Anthony,B-NOME_PESSOA,8655,123,130,668,8,teste
10368,Dias,I-NOME_PESSOA,8655,131,135,668,8,teste
10369,Blue,I-NOME_PESSOA,8655,136,140,668,8,teste
10370,",",O,8655,140,141,668,8,teste
10371,especialista,O,8655,142,154,668,8,teste
10372,renomado,O,8655,155,163,668,8,teste
10373,por,O,8655,164,167,668,8,teste
10374,seu,O,8655,168,171,668,8,teste
10375,conhecimento,O,8655,172,184,668,8,teste
10376,de,O,8655,185,187,668,8,teste
10377,bebidas,O,8655,188,195,668,8,teste
10378,destiladas,O,8655,196,206,668,8,teste
10379,.,O,8655,206,207,668,8,teste
10380,Na,O,8656,0,2,668,8,teste
10381,premiação,O,8656,3,12,668,8,teste
10382,",",O,8656,12,13,668,8,teste
10383,somente,O,8656,14,21,668,8,teste
10384,as,O,8656,22,24,668,8,teste
10385,melhores,O,8656,25,33,668,8,teste
10386,bebidas,O,8656,34,41,668,8,teste
10387,ganham,O,8656,42,48,668,8,teste
10388,o,O,8656,49,50,668,8,teste
10389,selo,O,8656,51,55,668,8,teste
10390,Seal,O,8656,56,60,668,8,teste
10391,Of,O,8656,61,63,668,8,teste
10392,Approval,O,8656,64,72,668,8,teste
10393,e,O,8656,73,74,668,8,teste
10394,",",O,8656,74,75,668,8,teste
10395,em,O,8656,76,78,668,8,teste
10396,2017,B-TEMPO,8656,79,83,668,8,teste
10397,",",O,8656,83,84,668,8,teste
10398,Sagatiba,B-NOME_BEBIDA,8656,85,93,668,8,teste
10399,Cristalina,I-NOME_BEBIDA,8656,94,104,668,8,teste
10400,não,O,8656,105,108,668,8,teste
10401,só,O,8656,109,111,668,8,teste
10402,foi,O,8656,112,115,668,8,teste
10403,selecionada,O,8656,116,127,668,8,teste
10404,como,O,8656,128,132,668,8,teste
10405,recebeu,O,8656,133,140,668,8,teste
10406,a,O,8656,141,142,668,8,teste
10407,medalha,O,8656,143,150,668,8,teste
10408,Gold,O,8656,151,155,668,8,teste
10409,",",O,8656,155,156,668,8,teste
10410,com,O,8656,157,160,668,8,teste
10411,uma,O,8656,161,164,668,8,teste
10412,pontuação,O,8656,165,174,668,8,teste
10413,excelente,O,8656,175,184,668,8,teste
10414,",",O,8656,184,185,668,8,teste
10415,ressaltando,O,8656,186,197,668,8,teste
10416,sua,O,8656,198,201,668,8,teste
10417,qualidade,O,8656,202,211,668,8,teste
10418,e,O,8656,212,213,668,8,teste
10419,sabor,O,8656,214,219,668,8,teste
10420,únicos,O,8656,220,226,668,8,teste
10421,.,O,8656,226,227,668,8,teste
10422,Volume,O,8657,0,6,668,8,teste
10423,:,O,8657,6,7,668,8,teste
10424,700,B-VOLUME,8657,8,11,668,8,teste
10425,ml,I-VOLUME,8657,12,14,668,8,teste
10426,GRADUAÇÃO,O,8658,0,9,668,8,teste
10427,ALCOÓLICA,O,8658,10,19,668,8,teste
10428,:,O,8658,19,20,668,8,teste
10429,38%,B-GRADUACAO_ALCOOLICA,8658,21,24,668,8,teste
10430,vol,O,8658,25,28,668,8,teste
10431,.,O,8658,28,29,668,8,teste
10432,NOME,O,9041,0,4,690,8,teste
10433,DA,O,9041,5,7,690,8,teste
10434,CACHAÇA,O,9041,8,15,690,8,teste
10435,:,O,9041,15,16,690,8,teste
10436,Cachaça,O,9041,17,24,690,8,teste
10437,Weber,B-NOME_BEBIDA,9041,25,30,690,8,teste
10438,Haus,I-NOME_BEBIDA,9041,31,35,690,8,teste
10439,Carvalho,B-TIPO_MADEIRA,9041,36,44,690,8,teste
10440,e,O,9041,45,46,690,8,teste
10441,Cabriúva,B-TIPO_MADEIRA,9041,47,55,690,8,teste
10442,PREÇO,O,9042,0,5,690,8,teste
10443,:,O,9042,5,6,690,8,teste
10444,R$,B-PRECO,9042,7,9,690,8,teste
10445,99,I-PRECO,9042,10,12,690,8,teste
10446,",",I-PRECO,9042,12,13,690,8,teste
10447,90,I-PRECO,9042,13,15,690,8,teste
10448,DESCRIÇÃO,O,9043,0,9,690,8,teste
10449,DA,O,9043,10,12,690,8,teste
10450,CACHAÇA,O,9043,13,20,690,8,teste
10451,:,O,9043,20,21,690,8,teste
10452,Cachaça,O,9043,22,29,690,8,teste
10453,Weber,B-NOME_BEBIDA,9043,30,35,690,8,teste
10454,Haus,I-NOME_BEBIDA,9043,36,40,690,8,teste
10455,Carvalho,B-TIPO_MADEIRA,9043,41,49,690,8,teste
10456,e,O,9043,50,51,690,8,teste
10457,Cabriúva,B-TIPO_MADEIRA,9043,52,60,690,8,teste
10458,700,B-VOLUME,9043,61,64,690,8,teste
10459,ml,I-VOLUME,9043,65,67,690,8,teste
10460,.,O,9043,67,68,690,8,teste
10461,Envelhecida,O,9044,0,11,690,8,teste
10462,em,O,9044,12,14,690,8,teste
10463,barris,B-RECIPIENTE_ARMAZENAMENTO,9044,15,21,690,8,teste
10464,de,I-RECIPIENTE_ARMAZENAMENTO,9044,22,24,690,8,teste
10465,madeira,I-RECIPIENTE_ARMAZENAMENTO,9044,25,32,690,8,teste
10466,nobres,O,9044,33,39,690,8,teste
10467,como,O,9044,40,44,690,8,teste
10468,carvalho,B-TIPO_MADEIRA,9044,45,53,690,8,teste
10469,Americano,I-TIPO_MADEIRA,9044,54,63,690,8,teste
10470,e,O,9044,64,65,690,8,teste
10471,cabriúva,B-TIPO_MADEIRA,9044,66,74,690,8,teste
10472,durante,O,9044,75,82,690,8,teste
10473,dois,B-TEMPO_ARMAZENAMENTO,9044,83,87,690,8,teste
10474,anos,I-TEMPO_ARMAZENAMENTO,9044,88,92,690,8,teste
10475,até,O,9044,93,96,690,8,teste
10476,atingir,O,9044,97,104,690,8,teste
10477,sua,O,9044,105,108,690,8,teste
10478,perfeição,O,9044,109,118,690,8,teste
10479,em,O,9044,119,121,690,8,teste
10480,tempo,O,9044,122,127,690,8,teste
10481,ideal,O,9044,128,133,690,8,teste
10482,de,O,9044,134,136,690,8,teste
10483,maturação,O,9044,137,146,690,8,teste
10484,.,O,9044,146,147,690,8,teste
10485,Cachaça,O,9045,0,7,690,8,teste
10486,envelhecida,O,9045,8,19,690,8,teste
10487,1,B-TEMPO_ARMAZENAMENTO,9045,20,21,690,8,teste
10488,ano,I-TEMPO_ARMAZENAMENTO,9045,22,25,690,8,teste
10489,em,O,9045,26,28,690,8,teste
10490,barril,B-RECIPIENTE_ARMAZENAMENTO,9045,29,35,690,8,teste
10491,de,O,9045,36,38,690,8,teste
10492,carvalho,B-TIPO_MADEIRA,9045,39,47,690,8,teste
10493,americano,I-TIPO_MADEIRA,9045,48,57,690,8,teste
10494,e,O,9045,58,59,690,8,teste
10495,1,B-TEMPO_ARMAZENAMENTO,9045,60,61,690,8,teste
10496,ano,I-TEMPO_ARMAZENAMENTO,9045,62,65,690,8,teste
10497,em,O,9045,66,68,690,8,teste
10498,cabriúva,B-TIPO_MADEIRA,9045,69,77,690,8,teste
10499,.,O,9045,77,78,690,8,teste
10500,É,O,9046,0,1,690,8,teste
10501,destilada,O,9046,2,11,690,8,teste
10502,e,O,9046,12,13,690,8,teste
10503,ótima,O,9046,14,19,690,8,teste
10504,para,O,9046,20,24,690,8,teste
10505,consumir,O,9046,25,33,690,8,teste
10506,como,O,9046,34,38,690,8,teste
10507,aperitivo,O,9046,39,48,690,8,teste
10508,e,O,9046,49,50,690,8,teste
10509,drinks,O,9046,51,57,690,8,teste
10510,",",O,9046,57,58,690,8,teste
10511,sendo,O,9046,59,64,690,8,teste
10512,digestivo,O,9046,65,74,690,8,teste
10513,após,O,9046,75,79,690,8,teste
10514,as,O,9046,80,82,690,8,teste
10515,refeições,O,9046,83,92,690,8,teste
10516,.,O,9046,92,93,690,8,teste
10517,Premiações,O,9047,0,10,690,8,teste
10518,:,O,9047,10,11,690,8,teste
10519,2008,B-TEMPO,9047,12,16,690,8,teste
10520,-,O,9047,17,18,690,8,teste
10521,Medalha,O,9047,19,26,690,8,teste
10522,de,O,9047,27,29,690,8,teste
10523,Bronze,O,9047,30,36,690,8,teste
10524,No,O,9047,37,39,690,8,teste
10525,Concurso,O,9047,40,48,690,8,teste
10526,San,B-NOME_LOCAL,9047,49,52,690,8,teste
10527,Francisco,I-NOME_LOCAL,9047,53,62,690,8,teste
10528,World,O,9047,63,68,690,8,teste
10529,Spirits,O,9047,69,76,690,8,teste
10530,Competición,O,9047,77,88,690,8,teste
10531,;,O,9047,88,89,690,8,teste
10532,2008,B-TEMPO,9047,90,94,690,8,teste
10533,-,O,9047,95,96,690,8,teste
10534,Medalha,O,9047,97,104,690,8,teste
10535,de,O,9047,105,107,690,8,teste
10536,Ouro,O,9047,108,112,690,8,teste
10537,Internacional,O,9047,113,126,690,8,teste
10538,Review,O,9047,127,133,690,8,teste
10539,Of,O,9047,134,136,690,8,teste
10540,.,O,9047,136,137,690,8,teste
10541,Spirits,O,9048,0,7,690,8,teste
10542,Award,O,9048,8,13,690,8,teste
10543,–,O,9048,14,15,690,8,teste
10544,Chicago,B-NOME_LOCAL,9048,16,23,690,8,teste
10545,USA,B-NOME_LOCAL,9048,24,27,690,8,teste
10546,;,O,9048,27,28,690,8,teste
10547,2009,B-TEMPO,9048,29,33,690,8,teste
10548,-,O,9048,34,35,690,8,teste
10549,Medalha,O,9048,36,43,690,8,teste
10550,de,O,9048,44,46,690,8,teste
10551,Prata,O,9048,47,52,690,8,teste
10552,San,B-NOME_LOCAL,9048,53,56,690,8,teste
10553,Francisco,I-NOME_LOCAL,9048,57,66,690,8,teste
10554,Word,O,9048,67,71,690,8,teste
10555,Spirits,O,9048,72,79,690,8,teste
10556,Competición,O,9048,80,91,690,8,teste
10557,-,O,9048,91,92,690,8,teste
10558,USA,B-NOME_LOCAL,9048,92,95,690,8,teste
10559,;,O,9048,95,96,690,8,teste
10560,2013,B-TEMPO,9048,97,101,690,8,teste
10561,-,O,9048,102,103,690,8,teste
10562,Medalha,O,9048,104,111,690,8,teste
10563,de,O,9048,112,114,690,8,teste
10564,Prata,O,9048,115,120,690,8,teste
10565,Concurso,O,9048,121,129,690,8,teste
10566,Mundial,O,9048,130,137,690,8,teste
10567,de,O,9048,138,140,690,8,teste
10568,Bruxelas,B-NOME_LOCAL,9048,141,149,690,8,teste
10569,-,O,9048,150,151,690,8,teste
10570,Brasil,B-NOME_LOCAL,9048,152,158,690,8,teste
10571,;,O,9048,158,159,690,8,teste
10572,2014,B-TEMPO,9048,160,164,690,8,teste
10573,–,O,9048,165,166,690,8,teste
10574,Ranking,O,9048,167,174,690,8,teste
10575,Cúpula,B-NOME_ORGANIZACAO,9048,175,181,690,8,teste
10576,da,I-NOME_ORGANIZACAO,9048,182,184,690,8,teste
10577,Cachaça,I-NOME_ORGANIZACAO,9048,185,192,690,8,teste
10578,–,O,9048,193,194,690,8,teste
10579,9º,O,9048,195,197,690,8,teste
10580,lugar,O,9048,198,203,690,8,teste
10581,entre,O,9048,204,209,690,8,teste
10582,50,O,9048,210,212,690,8,teste
10583,Cachaças,O,9048,213,221,690,8,teste
10584,2016,B-TEMPO,9048,222,226,690,8,teste
10585,–,O,9048,227,228,690,8,teste
10586,Medalha,O,9048,229,236,690,8,teste
10587,de,O,9048,237,239,690,8,teste
10588,Ouro,O,9048,240,244,690,8,teste
10589,–,O,9048,245,246,690,8,teste
10590,Concurso,O,9048,247,255,690,8,teste
10591,Mundial,O,9048,256,263,690,8,teste
10592,de,O,9048,264,266,690,8,teste
10593,Bruxelas,B-NOME_LOCAL,9048,267,275,690,8,teste
10594,Edição,O,9048,276,282,690,8,teste
10595,Brasil,B-NOME_LOCAL,9048,283,289,690,8,teste
10596,;,O,9048,289,290,690,8,teste
10597,Volume,O,9049,0,6,690,8,teste
10598,:,O,9049,6,7,690,8,teste
10599,700,B-VOLUME,9049,8,11,690,8,teste
10600,ml,I-VOLUME,9049,12,14,690,8,teste
10601,GRADUAÇÃO,O,9050,0,9,690,8,teste
10602,ALCOÓLICA,O,9050,10,19,690,8,teste
10603,:,O,9050,19,20,690,8,teste
10604,38%,B-GRADUACAO_ALCOOLICA,9050,21,24,690,8,teste
10605,vol,O,9050,25,28,690,8,teste
10606,.,O,9050,28,29,690,8,teste
10607,NOME,O,9160,0,4,703,8,teste
10608,DA,O,9160,5,7,703,8,teste
10609,CACHAÇA,O,9160,8,15,703,8,teste
10610,:,O,9160,15,16,703,8,teste
10611,Cachaça,O,9160,17,24,703,8,teste
10612,Santo,B-NOME_BEBIDA,9160,25,30,703,8,teste
10613,Grau,I-NOME_BEBIDA,9160,31,35,703,8,teste
10614,Itirapuã,I-NOME_BEBIDA,9160,36,44,703,8,teste
10615,PREÇO,O,9161,0,5,703,8,teste
10616,:,O,9161,5,6,703,8,teste
10617,R$,B-PRECO,9161,7,9,703,8,teste
10618,89,I-PRECO,9161,10,12,703,8,teste
10619,",",I-PRECO,9161,12,13,703,8,teste
10620,90,I-PRECO,9161,13,15,703,8,teste
10621,DESCRIÇÃO,O,9162,0,9,703,8,teste
10622,DA,O,9162,10,12,703,8,teste
10623,CACHAÇA,O,9162,13,20,703,8,teste
10624,:,O,9162,20,21,703,8,teste
10625,Cachaça,O,9162,22,29,703,8,teste
10626,Santo,B-NOME_BEBIDA,9162,30,35,703,8,teste
10627,Grau,I-NOME_BEBIDA,9162,36,40,703,8,teste
10628,Itirapuã,I-NOME_BEBIDA,9162,41,49,703,8,teste
10629,750,B-VOLUME,9162,50,53,703,8,teste
10630,ml,I-VOLUME,9162,54,56,703,8,teste
10631,.,O,9162,56,57,703,8,teste
10632,A,O,9163,0,1,703,8,teste
10633,Santo,B-NOME_BEBIDA,9163,2,7,703,8,teste
10634,Grau,I-NOME_BEBIDA,9163,8,12,703,8,teste
10635,Itirapuã,I-NOME_BEBIDA,9163,13,21,703,8,teste
10636,é,O,9163,22,23,703,8,teste
10637,uma,O,9163,24,27,703,8,teste
10638,cachaça,O,9163,28,35,703,8,teste
10639,clássica,O,9163,36,44,703,8,teste
10640,tradicional,O,9163,45,56,703,8,teste
10641,do,O,9163,57,59,703,8,teste
10642,interior,O,9163,60,68,703,8,teste
10643,paulista,O,9163,69,77,703,8,teste
10644,.,O,9163,77,78,703,8,teste
10645,Com,O,9164,0,3,703,8,teste
10646,aroma,O,9164,4,9,703,8,teste
10647,suave,O,9164,10,15,703,8,teste
10648,tem,O,9164,16,19,703,8,teste
10649,sabor,O,9164,20,25,703,8,teste
10650,aveludado,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,9164,26,35,703,8,teste
10651,",",O,9164,35,36,703,8,teste
10652,macio,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,9164,37,42,703,8,teste
10653,e,O,9164,43,44,703,8,teste
10654,amplo,O,9164,45,50,703,8,teste
10655,na,O,9164,51,53,703,8,teste
10656,boca,O,9164,54,58,703,8,teste
10657,.,O,9164,58,59,703,8,teste
10658,A,O,9165,0,1,703,8,teste
10659,cana,O,9165,2,6,703,8,teste
10660,é,O,9165,7,8,703,8,teste
10661,moída,O,9165,9,14,703,8,teste
10662,pela,O,9165,15,19,703,8,teste
10663,força,O,9165,20,25,703,8,teste
10664,da,O,9165,26,28,703,8,teste
10665,roda,O,9165,29,33,703,8,teste
10666,da,O,9165,34,36,703,8,teste
10667,água,O,9165,37,41,703,8,teste
10668,",",O,9165,41,42,703,8,teste
10669,movimentada,O,9165,43,54,703,8,teste
10670,por,O,9165,55,58,703,8,teste
10671,um,O,9165,59,61,703,8,teste
10672,riacho,O,9165,62,68,703,8,teste
10673,que,O,9165,69,72,703,8,teste
10674,",",O,9165,72,73,703,8,teste
10675,durante,O,9165,74,81,703,8,teste
10676,anos,O,9165,82,86,703,8,teste
10677,",",O,9165,86,87,703,8,teste
10678,fazia,O,9165,88,93,703,8,teste
10679,todo,O,9165,94,98,703,8,teste
10680,o,O,9165,99,100,703,8,teste
10681,engenho,O,9165,101,108,703,8,teste
10682,funcionar,O,9165,109,118,703,8,teste
10683,.,O,9165,118,119,703,8,teste
10684,Volume,O,9166,0,6,703,8,teste
10685,:,O,9166,6,7,703,8,teste
10686,750,B-VOLUME,9166,8,11,703,8,teste
10687,ml,I-VOLUME,9166,12,14,703,8,teste
10688,GRADUAÇÃO,O,9167,0,9,703,8,teste
10689,ALCOÓLICA,O,9167,10,19,703,8,teste
10690,:,O,9167,19,20,703,8,teste
10691,41%,B-GRADUACAO_ALCOOLICA,9167,21,24,703,8,teste
10692,vol,O,9167,25,28,703,8,teste
10693,.,O,9167,28,29,703,8,teste
10694,NOME,O,9194,0,4,707,8,teste
10695,DA,O,9194,5,7,707,8,teste
10696,CACHAÇA,O,9194,8,15,707,8,teste
10697,:,O,9194,15,16,707,8,teste
10698,Cachaça,O,9194,17,24,707,8,teste
10699,Santo,B-NOME_BEBIDA,9194,25,30,707,8,teste
10700,Grau,I-NOME_BEBIDA,9194,31,35,707,8,teste
10701,Reserva,B-CLASSIFICACAO_BEBIDA,9194,36,43,707,8,teste
10702,Itirapuã,B-NOME_LOCAL,9194,44,52,707,8,teste
10703,PREÇO,O,9195,0,5,707,8,teste
10704,:,O,9195,5,6,707,8,teste
10705,R$,B-PRECO,9195,7,9,707,8,teste
10706,139,I-PRECO,9195,10,13,707,8,teste
10707,",",I-PRECO,9195,13,14,707,8,teste
10708,90,I-PRECO,9195,14,16,707,8,teste
10709,DESCRIÇÃO,O,9196,0,9,707,8,teste
10710,DA,O,9196,10,12,707,8,teste
10711,CACHAÇA,O,9196,13,20,707,8,teste
10712,:,O,9196,20,21,707,8,teste
10713,Cachaça,O,9196,22,29,707,8,teste
10714,Santo,B-NOME_BEBIDA,9196,30,35,707,8,teste
10715,Grau,I-NOME_BEBIDA,9196,36,40,707,8,teste
10716,Reserva,B-CLASSIFICACAO_BEBIDA,9196,41,48,707,8,teste
10717,Itirapuã,B-NOME_LOCAL,9196,49,57,707,8,teste
10718,750,B-VOLUME,9196,58,61,707,8,teste
10719,ml,I-VOLUME,9196,62,64,707,8,teste
10720,.,O,9196,64,65,707,8,teste
10721,A,O,9197,0,1,707,8,teste
10722,Santo,B-NOME_BEBIDA,9197,2,7,707,8,teste
10723,Grau,I-NOME_BEBIDA,9197,8,12,707,8,teste
10724,Reserva,B-CLASSIFICACAO_BEBIDA,9197,13,20,707,8,teste
10725,Itirapuã,B-NOME_LOCAL,9197,21,29,707,8,teste
10726,é,O,9197,30,31,707,8,teste
10727,uma,O,9197,32,35,707,8,teste
10728,cachaça,O,9197,36,43,707,8,teste
10729,tradicional,O,9197,44,55,707,8,teste
10730,do,O,9197,56,58,707,8,teste
10731,interior,O,9197,59,67,707,8,teste
10732,paulista,O,9197,68,76,707,8,teste
10733,.,O,9197,76,77,707,8,teste
10734,Um,O,9198,0,2,707,8,teste
10735,blend,B-CLASSIFICACAO_BEBIDA,9198,3,8,707,8,teste
10736,de,O,9198,9,11,707,8,teste
10737,carvalho,B-TIPO_MADEIRA,9198,12,20,707,8,teste
10738,francês,I-TIPO_MADEIRA,9198,21,28,707,8,teste
10739,e,O,9198,29,30,707,8,teste
10740,“sherry,O,9198,31,38,707,8,teste
10741,oak,O,9198,39,42,707,8,teste
10742,casks”,O,9198,43,49,707,8,teste
10743,que,O,9198,50,53,707,8,teste
10744,envelheceram,O,9198,54,66,707,8,teste
10745,vinhos,O,9198,67,73,707,8,teste
10746,de,O,9198,74,76,707,8,teste
10747,Jerez,O,9198,77,82,707,8,teste
10748,",",O,9198,82,83,707,8,teste
10749,na,O,9198,84,86,707,8,teste
10750,Espanha,B-NOME_LOCAL,9198,87,94,707,8,teste
10751,.,O,9198,94,95,707,8,teste
10752,Volume,O,9199,0,6,707,8,teste
10753,:,O,9199,6,7,707,8,teste
10754,750,B-VOLUME,9199,8,11,707,8,teste
10755,ml,I-VOLUME,9199,12,14,707,8,teste
10756,GRADUAÇÃO,O,9200,0,9,707,8,teste
10757,ALCOÓLICA,O,9200,10,19,707,8,teste
10758,:,O,9200,19,20,707,8,teste
10759,41%,B-GRADUACAO_ALCOOLICA,9200,21,24,707,8,teste
10760,vol,O,9200,25,28,707,8,teste
10761,.,O,9200,28,29,707,8,teste
10762,NOME,O,9201,0,4,708,8,teste
10763,DA,O,9201,5,7,708,8,teste
10764,CACHAÇA,O,9201,8,15,708,8,teste
10765,:,O,9201,15,16,708,8,teste
10766,Cachaça,O,9201,17,24,708,8,teste
10767,Santo,B-NOME_BEBIDA,9201,25,30,708,8,teste
10768,Grau,I-NOME_BEBIDA,9201,31,35,708,8,teste
10769,Paraty,I-NOME_BEBIDA,9201,36,42,708,8,teste
10770,PREÇO,O,9202,0,5,708,8,teste
10771,:,O,9202,5,6,708,8,teste
10772,R$,B-PRECO,9202,7,9,708,8,teste
10773,89,I-PRECO,9202,10,12,708,8,teste
10774,",",I-PRECO,9202,12,13,708,8,teste
10775,90,I-PRECO,9202,13,15,708,8,teste
10776,DESCRIÇÃO,O,9203,0,9,708,8,teste
10777,DA,O,9203,10,12,708,8,teste
10778,CACHAÇA,O,9203,13,20,708,8,teste
10779,:,O,9203,20,21,708,8,teste
10780,Cachaça,O,9203,22,29,708,8,teste
10781,Santo,B-NOME_BEBIDA,9203,30,35,708,8,teste
10782,Grau,I-NOME_BEBIDA,9203,36,40,708,8,teste
10783,Paraty,I-NOME_BEBIDA,9203,41,47,708,8,teste
10784,750,B-VOLUME,9203,48,51,708,8,teste
10785,ml,I-VOLUME,9203,52,54,708,8,teste
10786,.,O,9203,54,55,708,8,teste
10787,A,O,9204,0,1,708,8,teste
10788,Santo,B-NOME_BEBIDA,9204,2,7,708,8,teste
10789,Grau,I-NOME_BEBIDA,9204,8,12,708,8,teste
10790,Paraty,I-NOME_BEBIDA,9204,13,19,708,8,teste
10791,é,O,9204,20,21,708,8,teste
10792,uma,O,9204,22,25,708,8,teste
10793,cachaça,O,9204,26,33,708,8,teste
10794,clássica,O,9204,34,42,708,8,teste
10795,da,O,9204,43,45,708,8,teste
10796,tradicional,O,9204,46,57,708,8,teste
10797,região,O,9204,58,64,708,8,teste
10798,fluminense,O,9204,65,75,708,8,teste
10799,.,O,9204,75,76,708,8,teste
10800,Perfumada,O,9205,0,9,708,8,teste
10801,",",O,9205,9,10,708,8,teste
10802,com,O,9205,11,14,708,8,teste
10803,aromas,O,9205,15,21,708,8,teste
10804,e,O,9205,22,23,708,8,teste
10805,sabores,O,9205,24,31,708,8,teste
10806,que,O,9205,32,35,708,8,teste
10807,carregam,O,9205,36,44,708,8,teste
10808,as,O,9205,45,47,708,8,teste
10809,características,O,9205,48,63,708,8,teste
10810,peculiares,O,9205,64,74,708,8,teste
10811,da,O,9205,75,77,708,8,teste
10812,região,O,9205,78,84,708,8,teste
10813,praiana,O,9205,85,92,708,8,teste
10814,.,O,9205,92,93,708,8,teste
10815,O,O,9206,0,1,708,8,teste
10816,engenho,B-NOME_ORGANIZACAO,9206,2,9,708,8,teste
10817,de,I-NOME_ORGANIZACAO,9206,10,12,708,8,teste
10818,Paraty,I-NOME_ORGANIZACAO,9206,13,19,708,8,teste
10819,",",O,9206,19,20,708,8,teste
10820,localizado,O,9206,21,31,708,8,teste
10821,a,O,9206,32,33,708,8,teste
10822,beira,O,9206,34,39,708,8,teste
10823,da,O,9206,40,42,708,8,teste
10824,Serra,B-NOME_LOCAL,9206,43,48,708,8,teste
10825,do,I-NOME_LOCAL,9206,49,51,708,8,teste
